,v,vw,o,c,h,l,t,n,UNIXTIME
0,2673.0,184.5369,184.69,184.62,184.69,184.42,1708074000000,99,2024-02-16 04:00:00-05:00
1,2407.0,184.5418,184.5,184.55,184.64,184.5,1708074060000,71,2024-02-16 04:01:00-05:00
2,3527.0,184.5749,184.58,184.55,184.6,184.55,1708074180000,40,2024-02-16 04:03:00-05:00
3,709.0,184.5234,184.53,184.53,184.53,184.53,1708074240000,37,2024-02-16 04:04:00-05:00
4,536.0,184.4239,184.42,184.42,184.42,184.42,1708074300000,16,2024-02-16 04:05:00-05:00
5,1346.0,184.4525,184.46,184.45,184.46,184.45,1708074360000,46,2024-02-16 04:06:00-05:00
6,1886.0,184.5072,184.49,184.5,184.5,184.49,1708074420000,50,2024-02-16 04:07:00-05:00
7,450.0,184.4635,184.45,184.45,184.45,184.45,1708074480000,23,2024-02-16 04:08:00-05:00
8,707.0,184.5242,184.53,184.53,184.53,184.53,1708074600000,21,2024-02-16 04:10:00-05:00
9,2239.0,184.5899,184.56,184.63,184.63,184.56,1708074660000,38,2024-02-16 04:11:00-05:00
10,331.0,184.6349,184.64,184.64,184.64,184.64,1708074720000,12,2024-02-16 04:12:00-05:00
11,722.0,184.687,184.7,184.7,184.7,184.7,1708074780000,32,2024-02-16 04:13:00-05:00
12,1335.0,184.8268,184.79,184.84,184.87,184.79,1708075020000,44,2024-02-16 04:17:00-05:00
13,1755.0,184.8247,184.84,184.84,184.84,184.84,1708075080000,43,2024-02-16 04:18:00-05:00
14,540.0,184.7599,184.78,184.78,184.78,184.78,1708075140000,23,2024-02-16 04:19:00-05:00
15,2741.0,184.7062,184.71,184.7,184.71,184.7,1708075200000,40,2024-02-16 04:20:00-05:00
16,1504.0,184.7512,184.75,184.75,184.75,184.75,1708075260000,30,2024-02-16 04:21:00-05:00
17,307.0,184.7034,184.7,184.7,184.7,184.7,1708075500000,9,2024-02-16 04:25:00-05:00
18,1216.0,184.7002,184.7,184.7,184.7,184.7,1708075560000,17,2024-02-16 04:26:00-05:00
19,351.0,184.7419,184.76,184.76,184.76,184.76,1708075620000,14,2024-02-16 04:27:00-05:00
20,634.0,184.7395,184.74,184.74,184.74,184.74,1708075680000,27,2024-02-16 04:28:00-05:00
21,1303.0,184.7301,184.75,184.71,184.75,184.71,1708075740000,28,2024-02-16 04:29:00-05:00
22,1801.0,184.7215,184.7,184.75,184.75,184.7,1708075860000,25,2024-02-16 04:31:00-05:00
23,490.0,184.7535,184.74,184.74,184.74,184.74,1708075920000,20,2024-02-16 04:32:00-05:00
24,654.0,184.7316,184.72,184.72,184.72,184.72,1708076100000,33,2024-02-16 04:35:00-05:00
25,314.0,184.7203,184.7,184.7,184.7,184.7,1708076220000,14,2024-02-16 04:37:00-05:00
26,510.0,184.7095,184.71,184.71,184.71,184.71,1708076280000,12,2024-02-16 04:38:00-05:00
27,1377.0,184.7019,184.7,184.7,184.7,184.7,1708076580000,41,2024-02-16 04:43:00-05:00
28,1166.0,184.7005,184.7,184.7,184.7,184.7,1708076700000,10,2024-02-16 04:45:00-05:00
29,901.0,184.7228,184.73,184.73,184.73,184.73,1708076760000,26,2024-02-16 04:46:00-05:00
30,2204.0,184.7015,184.7,184.71,184.71,184.7,1708076940000,27,2024-02-16 04:49:00-05:00
31,457.0,184.7242,184.73,184.73,184.73,184.73,1708077180000,14,2024-02-16 04:53:00-05:00
32,645.0,184.7321,184.73,184.73,184.73,184.73,1708077240000,18,2024-02-16 04:54:00-05:00
33,426.0,184.7231,184.72,184.72,184.72,184.72,1708077300000,23,2024-02-16 04:55:00-05:00
34,1169.0,184.7122,184.7,184.7,184.7,184.7,1708077420000,35,2024-02-16 04:57:00-05:00
35,496.0,184.714,184.7,184.7,184.7,184.7,1708077480000,17,2024-02-16 04:58:00-05:00
36,562.0,184.7417,184.74,184.74,184.74,184.74,1708077780000,15,2024-02-16 05:03:00-05:00
37,1786.0,184.7964,184.78,184.83,184.83,184.78,1708077960000,31,2024-02-16 05:06:00-05:00
38,2692.0,184.8431,184.81,184.85,184.85,184.81,1708078020000,43,2024-02-16 05:07:00-05:00
