,v,vw,o,c,h,l,t,n,UNIXTIME
0,7102,190.2331,190.38,190.42,190.6,189.82,1707469200000,202,2024-02-09 04:00:00-05:00
1,2173,190.4402,190.35,190.53,190.53,190.35,1707469260000,78,2024-02-09 04:01:00-05:00
2,3154,190.5171,190.49,190.55,190.55,190.49,1707469320000,104,2024-02-09 04:02:00-05:00
3,1863,190.5836,190.58,190.6,190.6,190.58,1707469440000,51,2024-02-09 04:04:00-05:00
4,1037,190.6102,190.6,190.64,190.64,190.6,1707469500000,49,2024-02-09 04:05:00-05:00
5,2623,190.6445,190.61,190.65,190.66,190.61,1707469560000,69,2024-02-09 04:06:00-05:00
6,1235,190.6219,190.69,190.65,190.69,190.65,1707469620000,82,2024-02-09 04:07:00-05:00
7,2033,190.5505,190.51,190.51,190.59,190.51,1707469680000,70,2024-02-09 04:08:00-05:00
8,669,190.5315,190.57,190.57,190.57,190.57,1707469740000,31,2024-02-09 04:09:00-05:00
9,1245,190.5297,190.51,190.58,190.58,190.51,1707469800000,48,2024-02-09 04:10:00-05:00
10,1270,190.537,190.53,190.51,190.53,190.51,1707469860000,40,2024-02-09 04:11:00-05:00
11,485,190.5311,190.51,190.51,190.51,190.51,1707469920000,40,2024-02-09 04:12:00-05:00
12,1215,190.5487,190.52,190.55,190.55,190.52,1707469980000,32,2024-02-09 04:13:00-05:00
13,2740,190.5192,190.51,190.53,190.55,190.51,1707470100000,60,2024-02-09 04:15:00-05:00
14,4898,190.5937,190.57,190.62,190.62,190.57,1707470160000,75,2024-02-09 04:16:00-05:00
15,1054,190.6264,190.61,190.65,190.65,190.61,1707470220000,50,2024-02-09 04:17:00-05:00
16,1272,190.5856,190.6,190.55,190.61,190.54,1707470280000,68,2024-02-09 04:18:00-05:00
17,558,190.5417,190.55,190.55,190.55,190.55,1707470340000,36,2024-02-09 04:19:00-05:00
18,485,190.5487,190.54,190.54,190.54,190.54,1707470400000,27,2024-02-09 04:20:00-05:00
19,498,190.5479,190.56,190.56,190.56,190.56,1707470460000,39,2024-02-09 04:21:00-05:00
20,3860,190.5398,190.52,190.6,190.6,190.51,1707470520000,78,2024-02-09 04:22:00-05:00
21,1308,190.6619,190.67,190.67,190.67,190.67,1707470700000,27,2024-02-09 04:25:00-05:00
22,1400,190.683,190.7,190.67,190.7,190.67,1707470760000,48,2024-02-09 04:26:00-05:00
23,906,190.6232,190.64,190.61,190.64,190.61,1707470820000,65,2024-02-09 04:27:00-05:00
24,1196,190.5859,190.59,190.59,190.6,190.59,1707470880000,52,2024-02-09 04:28:00-05:00
25,2083,190.5601,190.59,190.52,190.59,190.52,1707470940000,58,2024-02-09 04:29:00-05:00
26,2604,190.5209,190.52,190.51,190.52,190.51,1707471120000,79,2024-02-09 04:32:00-05:00
27,847,190.5175,190.51,190.51,190.51,190.51,1707471180000,35,2024-02-09 04:33:00-05:00
28,2412,190.4526,190.49,190.4,190.49,190.38,1707471240000,137,2024-02-09 04:34:00-05:00
29,2220,190.3239,190.35,190.3,190.35,190.3,1707471360000,77,2024-02-09 04:36:00-05:00
30,770,190.3672,190.36,190.4,190.4,190.36,1707471540000,29,2024-02-09 04:39:00-05:00
31,1428,190.4391,190.42,190.45,190.45,190.42,1707471600000,48,2024-02-09 04:40:00-05:00
32,1821,190.4228,190.42,190.36,190.42,190.36,1707471780000,65,2024-02-09 04:43:00-05:00
33,1165,190.3452,190.32,190.32,190.32,190.32,1707471840000,54,2024-02-09 04:44:00-05:00
34,184,190.41,190.41,190.41,190.41,190.41,1707471900000,10,2024-02-09 04:45:00-05:00
35,539,190.3623,190.35,190.35,190.35,190.35,1707471960000,22,2024-02-09 04:46:00-05:00
36,796,190.4073,190.42,190.42,190.42,190.42,1707472020000,24,2024-02-09 04:47:00-05:00
37,613,190.3002,190.32,190.32,190.32,190.32,1707472260000,36,2024-02-09 04:51:00-05:00
38,1742,190.2097,190.28,190.15,190.28,190.15,1707472320000,87,2024-02-09 04:52:00-05:00
39,437,190.1287,190.15,190.15,190.15,190.15,1707472440000,44,2024-02-09 04:54:00-05:00
40,2096,190.1028,190.1,190.11,190.11,190.1,1707472500000,37,2024-02-09 04:55:00-05:00
41,453,190.1212,190.1,190.1,190.1,190.1,1707472560000,30,2024-02-09 04:56:00-05:00
42,469,190.1309,190.12,190.12,190.12,190.12,1707472620000,32,2024-02-09 04:57:00-05:00
43,2081,190.0491,190.15,190.01,190.15,190.01,1707472740000,61,2024-02-09 04:59:00-05:00
44,11264,190.0091,190.0,190.01,190.01,190.0,1707472800000,154,2024-02-09 05:00:00-05:00
45,404,190.0843,190.11,190.11,190.11,190.11,1707473220000,21,2024-02-09 05:07:00-05:00
46,472,190.1337,190.15,190.15,190.15,190.15,1707473280000,19,2024-02-09 05:08:00-05:00
47,613,190.1413,190.15,190.15,190.15,190.15,1707473340000,34,2024-02-09 05:09:00-05:00
48,440,190.1098,190.11,190.11,190.11,190.11,1707473460000,31,2024-02-09 05:11:00-05:00
49,804,190.14,190.12,190.18,190.18,190.12,1707473640000,30,2024-02-09 05:14:00-05:00
50,1507,190.1928,190.19,190.21,190.21,190.19,1707473700000,34,2024-02-09 05:15:00-05:00
51,1243,190.3211,190.31,190.31,190.31,190.31,1707473760000,64,2024-02-09 05:16:00-05:00
52,710,190.2419,190.21,190.21,190.21,190.21,1707473820000,45,2024-02-09 05:17:00-05:00
53,998,190.1991,190.21,190.21,190.21,190.21,1707474000000,45,2024-02-09 05:20:00-05:00
