,v,vw,o,c,h,l,t,n,UNIXTIME
0,533,188.4954,188.5,188.5,188.5,188.5,1707469320000,13,2024-02-09 04:02:00-05:00
1,1173,188.448,188.5,188.35,188.5,188.35,1707469680000,51,2024-02-09 04:08:00-05:00
2,305,188.3497,188.35,188.35,188.35,188.35,1707469860000,23,2024-02-09 04:11:00-05:00
3,643,188.2729,188.3,188.3,188.3,188.3,1707470040000,40,2024-02-09 04:14:00-05:00
4,1082,188.3005,188.3,188.3,188.3,188.3,1707470280000,32,2024-02-09 04:18:00-05:00
5,451,188.3456,188.35,188.35,188.35,188.35,1707471060000,5,2024-02-09 04:31:00-05:00
6,194,188.3216,188.33,188.33,188.33,188.33,1707471240000,5,2024-02-09 04:34:00-05:00
7,396,188.3945,188.4,188.4,188.4,188.4,1707471480000,10,2024-02-09 04:38:00-05:00
8,365,188.3987,188.4,188.4,188.4,188.4,1707471540000,19,2024-02-09 04:39:00-05:00
9,364,188.4,188.4,188.4,188.4,188.4,1707473340000,15,2024-02-09 05:09:00-05:00
10,1652,188.4,188.4,188.4,188.4,188.4,1707473460000,44,2024-02-09 05:11:00-05:00
11,235,188.3989,188.4,188.4,188.4,188.4,1707473700000,7,2024-02-09 05:15:00-05:00
12,138,188.4299,188.43,188.43,188.43,188.43,1707474120000,3,2024-02-09 05:22:00-05:00
13,1867,188.4798,188.48,188.48,188.48,188.48,1707475200000,35,2024-02-09 05:40:00-05:00
14,450,188.5167,188.5,188.5,188.5,188.5,1707475320000,27,2024-02-09 05:42:00-05:00
15,1409,188.51,188.5,188.52,188.52,188.5,1707475920000,25,2024-02-09 05:52:00-05:00
16,405,188.4685,188.46,188.46,188.46,188.46,1707475980000,20,2024-02-09 05:53:00-05:00
17,478,188.4367,188.46,188.46,188.46,188.46,1707476400000,49,2024-02-09 06:00:00-05:00
18,512,188.4832,188.49,188.49,188.49,188.49,1707476460000,14,2024-02-09 06:01:00-05:00
19,471,188.45,188.45,188.45,188.45,188.45,1707478560000,7,2024-02-09 06:36:00-05:00
20,1109,188.4772,188.47,188.48,188.48,188.47,1707478740000,14,2024-02-09 06:39:00-05:00
21,497,188.4945,188.49,188.49,188.49,188.49,1707478920000,22,2024-02-09 06:42:00-05:00
22,828,188.5475,188.55,188.55,188.55,188.55,1707479160000,18,2024-02-09 06:46:00-05:00
23,497,188.5171,188.51,188.51,188.51,188.51,1707479880000,9,2024-02-09 06:58:00-05:00
24,1547,188.5097,188.54,188.51,188.54,188.51,1707480000000,70,2024-02-09 07:00:00-05:00
25,1504,188.5525,188.54,188.54,188.54,188.54,1707480060000,45,2024-02-09 07:01:00-05:00
26,2445,188.6447,188.62,188.66,188.66,188.62,1707480120000,46,2024-02-09 07:02:00-05:00
27,1459,188.562,188.55,188.55,188.55,188.55,1707480360000,31,2024-02-09 07:06:00-05:00
28,1322,188.503,188.5,188.5,188.5,188.5,1707480540000,8,2024-02-09 07:09:00-05:00
29,663,188.5342,188.54,188.55,188.55,188.54,1707480780000,17,2024-02-09 07:13:00-05:00
30,689,188.5592,188.56,188.55,188.56,188.55,1707480840000,17,2024-02-09 07:14:00-05:00
31,887,188.5419,188.54,188.54,188.54,188.54,1707481020000,28,2024-02-09 07:17:00-05:00
32,418,188.5572,188.56,188.56,188.56,188.56,1707481140000,12,2024-02-09 07:19:00-05:00
33,2469,188.5967,188.56,188.62,188.62,188.56,1707481200000,39,2024-02-09 07:20:00-05:00
34,775,188.6419,188.63,188.63,188.63,188.63,1707481260000,31,2024-02-09 07:21:00-05:00
35,474,188.6389,188.64,188.64,188.64,188.64,1707481320000,6,2024-02-09 07:22:00-05:00
36,822,188.6443,188.64,188.64,188.64,188.64,1707481380000,26,2024-02-09 07:23:00-05:00
37,1999,188.6702,188.67,188.68,188.68,188.67,1707481500000,70,2024-02-09 07:25:00-05:00
38,1261,188.5678,188.58,188.55,188.58,188.55,1707481680000,39,2024-02-09 07:28:00-05:00
39,949,188.573,188.6,188.55,188.6,188.55,1707481860000,29,2024-02-09 07:31:00-05:00
40,497,188.5324,188.54,188.54,188.54,188.54,1707481920000,26,2024-02-09 07:32:00-05:00
41,321,188.5567,188.56,188.56,188.56,188.56,1707482160000,14,2024-02-09 07:36:00-05:00
42,426,188.5134,188.52,188.52,188.52,188.52,1707482280000,20,2024-02-09 07:38:00-05:00
43,1848,188.5683,188.58,188.56,188.58,188.56,1707482460000,19,2024-02-09 07:41:00-05:00
44,325,188.5212,188.51,188.51,188.51,188.51,1707482700000,25,2024-02-09 07:45:00-05:00
45,1494,188.5011,188.51,188.5,188.51,188.5,1707482760000,60,2024-02-09 07:46:00-05:00
46,572,188.4804,188.48,188.48,188.48,188.48,1707482880000,27,2024-02-09 07:48:00-05:00
47,1286,188.4936,188.5,188.5,188.5,188.5,1707483060000,24,2024-02-09 07:51:00-05:00
48,4037,188.5844,188.57,188.62,188.62,188.57,1707483120000,100,2024-02-09 07:52:00-05:00
49,7966,188.7787,188.64,188.87,188.87,188.64,1707483180000,107,2024-02-09 07:53:00-05:00
50,1168,188.8742,188.87,188.87,188.87,188.87,1707483240000,31,2024-02-09 07:54:00-05:00
51,759,188.8279,188.8,188.88,188.88,188.8,1707483300000,23,2024-02-09 07:55:00-05:00
52,1418,188.8512,188.85,188.85,188.85,188.85,1707483360000,17,2024-02-09 07:56:00-05:00
53,424,188.7688,188.76,188.76,188.76,188.76,1707483540000,17,2024-02-09 07:59:00-05:00
54,44146,188.6463,188.54,188.75,188.93,188.4506,1707483600000,563,2024-02-09 08:00:00-05:00
55,4641,188.5534,188.83,188.76,188.83,188.76,1707483660000,2902,2024-02-09 08:01:00-05:00
