,v,vw,o,c,h,l,t,n,UNIXTIME
0,3359.0,192.4115,192.2,192.35,192.99,192.2,1706518800000,134,2024-01-29 04:00:00-05:00
1,1782.0,192.5651,192.58,192.58,192.58,192.58,1706518860000,68,2024-01-29 04:01:00-05:00
2,4007.0,192.4966,192.58,192.39,192.58,192.39,1706519100000,72,2024-01-29 04:05:00-05:00
3,2177.0,192.3651,192.39,192.34,192.39,192.29,1706519160000,38,2024-01-29 04:06:00-05:00
4,1180.0,192.3768,192.34,192.35,192.35,192.34,1706519280000,54,2024-01-29 04:08:00-05:00
5,4278.0,192.341,192.36,192.34,192.36,192.34,1706519580000,45,2024-01-29 04:13:00-05:00
6,1534.0,192.3577,192.36,192.36,192.36,192.36,1706519640000,18,2024-01-29 04:14:00-05:00
7,539.0,192.2922,192.28,192.28,192.28,192.28,1706519820000,35,2024-01-29 04:17:00-05:00
8,2411.0,192.2238,192.24,192.25,192.25,192.21,1706519880000,60,2024-01-29 04:18:00-05:00
9,1352.0,192.2151,192.21,192.21,192.21,192.21,1706519940000,22,2024-01-29 04:19:00-05:00
10,461.0,192.2007,192.2,192.2,192.2,192.2,1706520060000,19,2024-01-29 04:21:00-05:00
11,582.0,192.1632,192.13,192.13,192.13,192.13,1706520120000,26,2024-01-29 04:22:00-05:00
12,3802.0,192.2356,192.21,192.27,192.27,192.2,1706520180000,54,2024-01-29 04:23:00-05:00
13,1155.0,192.2768,192.28,192.28,192.28,192.28,1706520480000,22,2024-01-29 04:28:00-05:00
14,828.0,192.2509,192.28,192.28,192.28,192.28,1706520900000,29,2024-01-29 04:35:00-05:00
15,1159.0,192.0421,192.05,192.03,192.05,192.03,1706521500000,38,2024-01-29 04:45:00-05:00
16,195.0,192.1002,192.1,192.1,192.1,192.1,1706521620000,10,2024-01-29 04:47:00-05:00
17,2960.0,192.0746,192.1,192.05,192.1,192.05,1706521740000,55,2024-01-29 04:49:00-05:00
18,214.0,192.1189,192.13,192.13,192.13,192.13,1706521800000,8,2024-01-29 04:50:00-05:00
19,1821.0,192.0999,192.1,192.1,192.1,192.1,1706521920000,45,2024-01-29 04:52:00-05:00
20,350.0,192.0202,192.02,192.02,192.02,192.02,1706522280000,9,2024-01-29 04:58:00-05:00
21,1799.0,192.006,192.02,192.0,192.02,192.0,1706522460000,87,2024-01-29 05:01:00-05:00
22,425.0,191.9916,192.0,192.0,192.0,192.0,1706522640000,16,2024-01-29 05:04:00-05:00
23,180.0,191.9957,192.0,192.0,192.0,192.0,1706522760000,7,2024-01-29 05:06:00-05:00
24,337.0,192.0127,192.01,192.01,192.01,192.01,1706522820000,16,2024-01-29 05:07:00-05:00
25,260.0,192.0057,192.01,192.01,192.01,192.01,1706522880000,8,2024-01-29 05:08:00-05:00
26,115.0,192.0019,192.0,192.0,192.0,192.0,1706523000000,6,2024-01-29 05:10:00-05:00
27,1970.0,191.9842,191.99,191.99,191.99,191.98,1706523120000,51,2024-01-29 05:12:00-05:00
28,603.0,192.0269,192.02,192.02,192.02,192.02,1706523300000,10,2024-01-29 05:15:00-05:00
29,1297.0,191.9964,192.0,192.0,192.0,192.0,1706523720000,46,2024-01-29 05:22:00-05:00
30,637.0,192.051,192.05,192.05,192.05,192.05,1706523780000,13,2024-01-29 05:23:00-05:00
31,326.0,192.075,192.06,192.06,192.06,192.06,1706523840000,11,2024-01-29 05:24:00-05:00
32,412.0,192.0698,192.07,192.07,192.07,192.07,1706523900000,12,2024-01-29 05:25:00-05:00
33,979.0,192.0889,192.1,192.1,192.1,192.1,1706523960000,33,2024-01-29 05:26:00-05:00
34,2529.0,192.1459,192.12,192.19,192.19,192.12,1706524020000,60,2024-01-29 05:27:00-05:00
35,166.0,192.2004,192.2,192.2,192.2,192.2,1706524320000,2,2024-01-29 05:32:00-05:00
36,321.0,192.2032,192.2,192.2,192.2,192.2,1706524380000,11,2024-01-29 05:33:00-05:00
37,223.0,192.2022,192.2,192.2,192.2,192.2,1706524500000,8,2024-01-29 05:35:00-05:00
