,v,vw,o,c,h,l,t,n,UNIXTIME
0,233.0,185.5062,185.43,185.43,185.43,185.43,1707901200000,22,2024-02-14 04:00:00-05:00
1,1739.0,185.5567,185.51,185.53,185.6,185.51,1707901260000,47,2024-02-14 04:01:00-05:00
2,820.0,185.5216,185.52,185.51,185.52,185.51,1707901320000,27,2024-02-14 04:02:00-05:00
3,3812.0,185.4732,185.5,185.42,185.5,185.42,1707901440000,48,2024-02-14 04:04:00-05:00
4,467.0,185.5265,185.54,185.53,185.54,185.53,1707901620000,23,2024-02-14 04:07:00-05:00
5,510.0,185.4651,185.46,185.47,185.47,185.46,1707901740000,16,2024-02-14 04:09:00-05:00
6,2274.0,185.5181,185.5,185.57,185.57,185.5,1707901920000,33,2024-02-14 04:12:00-05:00
7,429.0,185.5699,185.59,185.59,185.59,185.59,1707902160000,13,2024-02-14 04:16:00-05:00
8,1891.0,185.5988,185.6,185.59,185.61,185.59,1707902400000,42,2024-02-14 04:20:00-05:00
9,284.0,185.6133,185.62,185.62,185.62,185.62,1707902460000,11,2024-02-14 04:21:00-05:00
10,1472.0,185.6261,185.65,185.65,185.65,185.65,1707902580000,41,2024-02-14 04:23:00-05:00
11,295.0,185.5813,185.58,185.58,185.58,185.58,1707902820000,21,2024-02-14 04:27:00-05:00
12,330.0,185.5892,185.58,185.58,185.58,185.58,1707903540000,16,2024-02-14 04:39:00-05:00
13,384.0,185.5799,185.58,185.58,185.58,185.58,1707903720000,27,2024-02-14 04:42:00-05:00
14,183.0,185.5878,185.59,185.59,185.59,185.59,1707903780000,9,2024-02-14 04:43:00-05:00
15,251.0,185.5874,185.59,185.59,185.59,185.59,1707903900000,14,2024-02-14 04:45:00-05:00
16,2478.0,185.5989,185.6,185.6,185.6,185.6,1707903960000,20,2024-02-14 04:46:00-05:00
17,227.0,185.61,185.61,185.61,185.61,185.61,1707904080000,4,2024-02-14 04:48:00-05:00
18,1866.0,185.6486,185.65,185.65,185.65,185.65,1707904140000,20,2024-02-14 04:49:00-05:00
19,204.0,185.6359,185.64,185.64,185.64,185.64,1707904260000,8,2024-02-14 04:51:00-05:00
20,228.0,185.6183,185.61,185.61,185.61,185.61,1707904320000,14,2024-02-14 04:52:00-05:00
21,118.0,185.6109,185.61,185.61,185.61,185.61,1707904500000,5,2024-02-14 04:55:00-05:00
22,902.0,185.6015,185.61,185.6,185.61,185.6,1707904800000,38,2024-02-14 05:00:00-05:00
23,485.0,185.5666,185.55,185.58,185.58,185.55,1707905160000,11,2024-02-14 05:06:00-05:00
24,240.0,185.5,185.5,185.5,185.5,185.5,1707905580000,2,2024-02-14 05:13:00-05:00
25,1206.0,185.4555,185.46,185.41,185.46,185.41,1707905640000,81,2024-02-14 05:14:00-05:00
26,816.0,185.4429,185.47,185.46,185.47,185.41,1707905820000,10,2024-02-14 05:17:00-05:00
27,675.0,185.4219,185.42,185.42,185.42,185.42,1707905880000,11,2024-02-14 05:18:00-05:00
28,1454.0,185.4195,185.42,185.42,185.42,185.42,1707905940000,31,2024-02-14 05:19:00-05:00
29,448.0,185.3781,185.37,185.37,185.37,185.37,1707906300000,26,2024-02-14 05:25:00-05:00
30,1650.0,185.3483,185.34,185.33,185.34,185.33,1707906360000,53,2024-02-14 05:26:00-05:00
31,488.0,185.3399,185.33,185.33,185.33,185.33,1707906420000,7,2024-02-14 05:27:00-05:00
32,3060.0,185.4309,185.4,185.45,185.45,185.4,1707906480000,46,2024-02-14 05:28:00-05:00
33,1751.0,185.4741,185.46,185.48,185.48,185.46,1707906600000,17,2024-02-14 05:30:00-05:00
34,465.0,185.4041,185.4,185.4,185.4,185.4,1707907080000,7,2024-02-14 05:38:00-05:00
35,1093.0,185.4379,185.43,185.45,185.45,185.43,1707907140000,15,2024-02-14 05:39:00-05:00
36,1242.0,185.4872,185.47,185.5,185.5,185.47,1707907260000,21,2024-02-14 05:41:00-05:00
37,461.0,185.5287,185.54,185.54,185.54,185.54,1707907500000,10,2024-02-14 05:45:00-05:00
