,v,vw,o,c,h,l,t,n,UNIXTIME
0,9518,185.1687,185.22,185.0,185.48,184.62,1707901200000,218,2024-02-14 04:00:00-05:00
1,1949,185.1023,185.06,185.02,185.16,184.98,1707901260000,88,2024-02-14 04:01:00-05:00
2,5141,185.5047,185.33,185.68,185.68,185.33,1707901320000,121,2024-02-14 04:02:00-05:00
3,3664,185.5607,185.57,185.64,185.64,185.48,1707901380000,111,2024-02-14 04:03:00-05:00
4,2658,185.5835,185.54,185.6,185.64,185.54,1707901440000,81,2024-02-14 04:04:00-05:00
5,1754,185.5894,185.6,185.59,185.6,185.59,1707901500000,60,2024-02-14 04:05:00-05:00
6,3451,185.5304,185.56,185.55,185.56,185.5,1707901560000,110,2024-02-14 04:06:00-05:00
7,5727,185.6,185.6,185.6,185.65,185.55,1707901620000,120,2024-02-14 04:07:00-05:00
8,1873,185.5827,185.57,185.59,185.6,185.57,1707901680000,76,2024-02-14 04:08:00-05:00
9,3640,185.552,185.54,185.52,185.55,185.52,1707901740000,146,2024-02-14 04:09:00-05:00
10,3064,185.4286,185.45,185.4,185.45,185.4,1707901800000,104,2024-02-14 04:10:00-05:00
11,1477,185.353,185.35,185.35,185.35,185.35,1707901860000,61,2024-02-14 04:11:00-05:00
12,2318,185.401,185.38,185.49,185.49,185.35,1707901920000,63,2024-02-14 04:12:00-05:00
13,1850,185.4726,185.5,185.45,185.5,185.45,1707902100000,71,2024-02-14 04:15:00-05:00
14,2091,185.5511,185.55,185.55,185.55,185.55,1707902280000,51,2024-02-14 04:18:00-05:00
15,1204,185.5973,185.6,185.6,185.6,185.6,1707902340000,48,2024-02-14 04:19:00-05:00
16,3524,185.6238,185.6,185.68,185.68,185.6,1707902400000,75,2024-02-14 04:20:00-05:00
17,1496,185.7149,185.7,185.72,185.72,185.7,1707902460000,72,2024-02-14 04:21:00-05:00
18,3148,185.7184,185.74,185.71,185.74,185.7,1707902520000,90,2024-02-14 04:22:00-05:00
19,2198,185.7089,185.71,185.71,185.71,185.7,1707902580000,59,2024-02-14 04:23:00-05:00
20,1732,185.7469,185.77,185.77,185.77,185.77,1707902700000,78,2024-02-14 04:25:00-05:00
21,1447,185.7198,185.7,185.75,185.75,185.68,1707902760000,59,2024-02-14 04:26:00-05:00
22,324,185.7389,185.75,185.75,185.75,185.75,1707902820000,22,2024-02-14 04:27:00-05:00
23,645,185.7363,185.75,185.75,185.75,185.75,1707902880000,38,2024-02-14 04:28:00-05:00
24,768,185.7031,185.7,185.7,185.7,185.7,1707902940000,46,2024-02-14 04:29:00-05:00
25,1579,185.6798,185.68,185.66,185.68,185.66,1707903000000,109,2024-02-14 04:30:00-05:00
26,876,185.6556,185.68,185.65,185.68,185.65,1707903060000,38,2024-02-14 04:31:00-05:00
27,453,185.6454,185.65,185.65,185.65,185.65,1707903120000,19,2024-02-14 04:32:00-05:00
28,2016,185.6126,185.64,185.61,185.64,185.61,1707903180000,87,2024-02-14 04:33:00-05:00
29,1458,185.5597,185.55,185.56,185.58,185.55,1707903300000,41,2024-02-14 04:35:00-05:00
30,2802,185.5752,185.6,185.53,185.6,185.53,1707903360000,100,2024-02-14 04:36:00-05:00
31,2759,185.522,185.54,185.5,185.54,185.5,1707903420000,79,2024-02-14 04:37:00-05:00
32,1571,185.4958,185.49,185.5,185.5,185.49,1707903480000,64,2024-02-14 04:38:00-05:00
33,1036,185.4266,185.42,185.42,185.42,185.42,1707903600000,64,2024-02-14 04:40:00-05:00
34,888,185.4854,185.5,185.5,185.5,185.5,1707903720000,32,2024-02-14 04:42:00-05:00
35,1604,185.4985,185.49,185.5,185.5,185.45,1707903780000,44,2024-02-14 04:43:00-05:00
36,2606,185.6521,185.62,185.62,185.62,185.62,1707903900000,92,2024-02-14 04:45:00-05:00
37,2124,185.7126,185.72,185.72,185.73,185.72,1707903960000,41,2024-02-14 04:46:00-05:00
38,611,185.6784,185.69,185.69,185.69,185.69,1707904080000,38,2024-02-14 04:48:00-05:00
39,1189,185.6945,185.68,185.72,185.72,185.68,1707904260000,40,2024-02-14 04:51:00-05:00
40,1951,185.7288,185.73,185.72,185.74,185.72,1707904320000,38,2024-02-14 04:52:00-05:00
41,976,185.7111,185.7,185.7,185.7,185.7,1707904380000,46,2024-02-14 04:53:00-05:00
42,1426,185.7074,185.69,185.7,185.7,185.69,1707904440000,48,2024-02-14 04:54:00-05:00
43,1925,185.7245,185.7,185.7,185.7,185.7,1707904500000,57,2024-02-14 04:55:00-05:00
44,2261,185.7825,185.79,185.81,185.81,185.79,1707904560000,58,2024-02-14 04:56:00-05:00
45,1932,185.8597,185.85,185.89,185.89,185.85,1707904620000,60,2024-02-14 04:57:00-05:00
