,v,vw,o,c,h,l,t,n,UNIXTIME
0,2776.0,189.5314,189.36,189.5,189.76,189.36,1707296400000,63,2024-02-07 04:00:00-05:00
1,2878.0,189.4148,189.5,189.35,189.5,189.35,1707296460000,70,2024-02-07 04:01:00-05:00
2,545.0,189.4686,189.47,189.47,189.47,189.47,1707296520000,17,2024-02-07 04:02:00-05:00
3,968.0,189.4282,189.5,189.39,189.5,189.39,1707296640000,28,2024-02-07 04:04:00-05:00
4,2679.0,189.3476,189.34,189.34,189.34,189.34,1707296700000,38,2024-02-07 04:05:00-05:00
5,4688.0,189.288,189.34,189.25,189.34,189.25,1707296760000,68,2024-02-07 04:06:00-05:00
6,1133.0,189.2489,189.25,189.26,189.26,189.25,1707297000000,24,2024-02-07 04:10:00-05:00
7,1146.0,189.2613,189.26,189.26,189.26,189.26,1707297060000,12,2024-02-07 04:11:00-05:00
8,1073.0,189.3824,189.35,189.35,189.35,189.35,1707297480000,30,2024-02-07 04:18:00-05:00
9,2162.0,189.4805,189.47,189.49,189.49,189.47,1707297540000,32,2024-02-07 04:19:00-05:00
10,966.0,189.4936,189.49,189.5,189.5,189.49,1707297720000,19,2024-02-07 04:22:00-05:00
11,429.0,189.6312,189.63,189.63,189.63,189.63,1707297960000,11,2024-02-07 04:26:00-05:00
12,1782.0,189.6469,189.64,189.65,189.65,189.64,1707298020000,24,2024-02-07 04:27:00-05:00
13,370.0,189.6139,189.61,189.61,189.61,189.61,1707298140000,6,2024-02-07 04:29:00-05:00
14,2324.0,189.6652,189.66,189.66,189.66,189.66,1707298320000,35,2024-02-07 04:32:00-05:00
15,111.0,189.7204,189.72,189.72,189.72,189.72,1707298740000,6,2024-02-07 04:39:00-05:00
16,556.0,189.758,189.76,189.76,189.76,189.76,1707298860000,10,2024-02-07 04:41:00-05:00
17,1883.0,189.7812,189.77,189.79,189.79,189.77,1707299040000,41,2024-02-07 04:44:00-05:00
18,1507.0,189.7905,189.8,189.79,189.8,189.79,1707299100000,37,2024-02-07 04:45:00-05:00
19,2157.0,189.6456,189.66,189.6,189.66,189.6,1707299400000,56,2024-02-07 04:50:00-05:00
20,306.0,189.5869,189.6,189.6,189.6,189.6,1707299460000,15,2024-02-07 04:51:00-05:00
21,416.0,189.5997,189.6,189.6,189.6,189.6,1707299520000,8,2024-02-07 04:52:00-05:00
22,366.0,189.725,189.71,189.71,189.71,189.71,1707300000000,17,2024-02-07 05:00:00-05:00
23,420.0,189.6392,189.66,189.66,189.66,189.66,1707300840000,11,2024-02-07 05:14:00-05:00
24,206.0,189.6523,189.65,189.65,189.65,189.65,1707301020000,9,2024-02-07 05:17:00-05:00
25,103.0,189.6602,189.66,189.66,189.66,189.66,1707301200000,4,2024-02-07 05:20:00-05:00
26,370.0,189.6121,189.63,189.63,189.63,189.63,1707301440000,13,2024-02-07 05:24:00-05:00
27,350.0,189.6229,189.63,189.63,189.63,189.63,1707301740000,24,2024-02-07 05:29:00-05:00
28,923.0,189.6032,189.62,189.61,189.62,189.61,1707301800000,25,2024-02-07 05:30:00-05:00
29,358.0,189.6142,189.61,189.61,189.61,189.61,1707301920000,3,2024-02-07 05:32:00-05:00
30,1278.0,189.5921,189.61,189.6,189.61,189.6,1707301980000,33,2024-02-07 05:33:00-05:00
31,329.0,189.5145,189.52,189.52,189.52,189.52,1707302100000,9,2024-02-07 05:35:00-05:00
32,500.0,189.533,189.51,189.5,189.51,189.5,1707302220000,10,2024-02-07 05:37:00-05:00
