,v,vw,o,c,h,l,t,n,UNIXTIME
0,14181.0,186.4682,186.24,186.5,186.9,186.24,1707296400000,312,2024-02-07 04:00:00-05:00
1,8510.0,186.445,186.43,186.3,186.55,186.3,1707296460000,255,2024-02-07 04:01:00-05:00
2,1859.0,186.4281,186.37,186.4,186.5,186.37,1707296520000,56,2024-02-07 04:02:00-05:00
3,7958.0,186.3437,186.39,186.37,186.39,186.3,1707296580000,155,2024-02-07 04:03:00-05:00
4,2991.0,186.4581,186.36,186.5,186.5,186.36,1707296640000,81,2024-02-07 04:04:00-05:00
5,4223.0,186.5573,186.5,186.58,186.6,186.5,1707296700000,100,2024-02-07 04:05:00-05:00
6,4674.0,186.7883,186.61,186.85,186.85,186.61,1707296760000,153,2024-02-07 04:06:00-05:00
7,5231.0,186.8459,186.85,186.89,186.89,186.8,1707296820000,132,2024-02-07 04:07:00-05:00
8,2999.0,186.7644,186.82,186.7,186.82,186.7,1707296880000,113,2024-02-07 04:08:00-05:00
9,1353.0,186.7582,186.77,186.76,186.77,186.76,1707296940000,51,2024-02-07 04:09:00-05:00
10,4803.0,186.729,186.75,186.7,186.78,186.7,1707297000000,113,2024-02-07 04:10:00-05:00
11,4043.0,186.7186,186.77,186.7,186.78,186.7,1707297060000,100,2024-02-07 04:11:00-05:00
12,4555.0,186.6035,186.7,186.6,186.7,186.5,1707297120000,172,2024-02-07 04:12:00-05:00
13,1897.0,186.634,186.6,186.61,186.61,186.6,1707297180000,64,2024-02-07 04:13:00-05:00
14,5299.0,186.4471,186.7,186.4,186.7,186.0,1707297240000,202,2024-02-07 04:14:00-05:00
15,4227.0,186.3529,186.29,186.4,186.42,186.25,1707297300000,97,2024-02-07 04:15:00-05:00
16,834.0,186.4984,186.51,186.51,186.51,186.51,1707297360000,41,2024-02-07 04:16:00-05:00
17,3162.0,186.5926,186.64,186.55,186.64,186.55,1707297480000,60,2024-02-07 04:18:00-05:00
18,929.0,186.5672,186.6,186.53,186.6,186.53,1707297540000,38,2024-02-07 04:19:00-05:00
19,935.0,186.5897,186.59,186.59,186.59,186.59,1707297600000,30,2024-02-07 04:20:00-05:00
20,3887.0,186.6188,186.58,186.63,186.64,186.58,1707297660000,115,2024-02-07 04:21:00-05:00
21,1442.0,186.6814,186.7,186.7,186.7,186.7,1707297720000,47,2024-02-07 04:22:00-05:00
