,v,vw,o,c,h,l,t,n,UNIXTIME
0,3792,188.6196,189.0,188.5,189.0,188.5,1707382800000,233,2024-02-08 04:00:00-05:00
1,2945,188.4871,188.45,188.57,188.57,188.45,1707382860000,108,2024-02-08 04:01:00-05:00
2,3106,188.5548,188.54,188.54,188.57,188.54,1707382920000,90,2024-02-08 04:02:00-05:00
3,1493,188.6637,188.79,188.79,188.79,188.79,1707382980000,74,2024-02-08 04:03:00-05:00
4,1187,188.7688,188.8,188.8,188.8,188.8,1707383100000,54,2024-02-08 04:05:00-05:00
5,487,188.8018,188.8,188.81,188.81,188.8,1707383160000,22,2024-02-08 04:06:00-05:00
6,544,188.777,188.78,188.78,188.78,188.78,1707383220000,55,2024-02-08 04:07:00-05:00
7,1498,188.8145,188.81,188.87,188.87,188.81,1707383340000,72,2024-02-08 04:09:00-05:00
8,1120,188.853,188.86,188.86,188.86,188.86,1707383400000,59,2024-02-08 04:10:00-05:00
9,1370,188.8808,188.87,188.88,188.88,188.87,1707383460000,48,2024-02-08 04:11:00-05:00
10,2414,188.9866,188.93,189.0,189.04,188.93,1707383520000,71,2024-02-08 04:12:00-05:00
11,2850,188.9929,189.0,189.07,189.07,188.97,1707383580000,96,2024-02-08 04:13:00-05:00
12,2312,189.0832,189.0,189.15,189.15,189.0,1707383640000,76,2024-02-08 04:14:00-05:00
13,1723,189.1961,189.22,189.22,189.22,189.22,1707383700000,84,2024-02-08 04:15:00-05:00
14,2051,189.3059,189.3,189.32,189.32,189.27,1707383760000,83,2024-02-08 04:16:00-05:00
15,910,189.3543,189.34,189.34,189.34,189.34,1707383820000,49,2024-02-08 04:17:00-05:00
16,612,189.3997,189.4,189.4,189.4,189.4,1707383880000,51,2024-02-08 04:18:00-05:00
17,3072,189.2808,189.32,189.22,189.32,189.22,1707383940000,127,2024-02-08 04:19:00-05:00
18,2004,189.2826,189.22,189.35,189.35,189.22,1707384000000,67,2024-02-08 04:20:00-05:00
19,655,189.316,189.32,189.32,189.32,189.32,1707384060000,42,2024-02-08 04:21:00-05:00
20,670,189.2929,189.3,189.3,189.3,189.3,1707384120000,59,2024-02-08 04:22:00-05:00
21,1248,189.2522,189.25,189.25,189.25,189.25,1707384180000,81,2024-02-08 04:23:00-05:00
22,795,189.2606,189.28,189.25,189.28,189.25,1707384240000,43,2024-02-08 04:24:00-05:00
23,2563,189.2645,189.24,189.3,189.3,189.24,1707384300000,72,2024-02-08 04:25:00-05:00
24,2582,189.3555,189.34,189.35,189.35,189.34,1707384360000,80,2024-02-08 04:26:00-05:00
25,2018,189.402,189.37,189.41,189.42,189.37,1707384420000,77,2024-02-08 04:27:00-05:00
26,1486,189.432,189.43,189.44,189.44,189.43,1707384480000,53,2024-02-08 04:28:00-05:00
27,3249,189.3629,189.4,189.27,189.4,189.27,1707384540000,104,2024-02-08 04:29:00-05:00
28,1009,189.3888,189.4,189.4,189.4,189.4,1707384720000,49,2024-02-08 04:32:00-05:00
29,3424,189.4717,189.42,189.5,189.5,189.42,1707384780000,83,2024-02-08 04:33:00-05:00
30,1792,189.4833,189.49,189.52,189.52,189.47,1707384840000,60,2024-02-08 04:34:00-05:00
31,2152,189.501,189.52,189.46,189.52,189.46,1707384900000,68,2024-02-08 04:35:00-05:00
32,1945,189.5664,189.51,189.6,189.6,189.51,1707384960000,79,2024-02-08 04:36:00-05:00
33,2300,189.6243,189.6,189.67,189.67,189.6,1707385020000,68,2024-02-08 04:37:00-05:00
34,2723,189.689,189.67,189.73,189.73,189.66,1707385080000,104,2024-02-08 04:38:00-05:00
35,1625,189.7459,189.78,189.75,189.78,189.75,1707385140000,85,2024-02-08 04:39:00-05:00
36,4445,189.8847,189.78,189.92,189.92,189.78,1707385200000,187,2024-02-08 04:40:00-05:00
37,11476,189.9963,189.99,190.0,190.06,189.97,1707385260000,350,2024-02-08 04:41:00-05:00
38,1945,190.0588,190.01,190.08,190.08,190.01,1707385320000,78,2024-02-08 04:42:00-05:00
39,1635,190.1163,190.08,190.08,190.08,190.08,1707385380000,108,2024-02-08 04:43:00-05:00
40,2647,190.157,190.12,190.2,190.2,190.12,1707385440000,99,2024-02-08 04:44:00-05:00
41,1858,190.145,190.15,190.15,190.15,190.14,1707385500000,82,2024-02-08 04:45:00-05:00
42,6526,190.0328,190.13,189.99,190.13,189.97,1707385560000,219,2024-02-08 04:46:00-05:00
43,4392,189.8699,189.92,189.81,189.92,189.81,1707385620000,134,2024-02-08 04:47:00-05:00
44,961,189.7934,189.8,189.76,189.8,189.76,1707385740000,68,2024-02-08 04:49:00-05:00
45,976,189.7937,189.81,189.79,189.81,189.79,1707385800000,47,2024-02-08 04:50:00-05:00
46,1064,189.87,189.88,189.85,189.88,189.85,1707385920000,55,2024-02-08 04:52:00-05:00
47,1710,189.8866,189.89,189.9,189.9,189.89,1707385980000,63,2024-02-08 04:53:00-05:00
48,2704,189.8656,189.79,189.94,189.94,189.79,1707386040000,98,2024-02-08 04:54:00-05:00
49,1526,189.8922,189.9,189.94,189.94,189.87,1707386100000,40,2024-02-08 04:55:00-05:00
50,4191,189.961,189.92,190.0,190.0,189.92,1707386160000,86,2024-02-08 04:56:00-05:00
51,705,189.9929,190.0,189.99,190.0,189.99,1707386340000,60,2024-02-08 04:59:00-05:00
52,1823,190.0176,190.03,190.03,190.03,190.03,1707386400000,104,2024-02-08 05:00:00-05:00
53,2461,190.076,190.09,190.09,190.1,190.03,1707386460000,104,2024-02-08 05:01:00-05:00
54,1911,190.0433,190.04,190.02,190.04,190.02,1707386520000,82,2024-02-08 05:02:00-05:00
55,1896,190.0756,190.07,190.09,190.09,190.07,1707386580000,77,2024-02-08 05:03:00-05:00
56,918,190.0511,190.07,190.07,190.07,190.07,1707386700000,56,2024-02-08 05:05:00-05:00
57,3165,190.0276,190.01,190.01,190.05,190.0,1707386820000,173,2024-02-08 05:07:00-05:00
58,2744,189.9735,189.99,189.95,189.99,189.95,1707386880000,112,2024-02-08 05:08:00-05:00
59,1406,189.9558,189.95,189.96,189.96,189.95,1707386940000,55,2024-02-08 05:09:00-05:00
60,1015,189.9677,189.99,189.99,189.99,189.99,1707387000000,44,2024-02-08 05:10:00-05:00
61,609,189.991,190.0,190.0,190.0,190.0,1707387060000,22,2024-02-08 05:11:00-05:00
62,1038,189.9917,189.99,190.0,190.0,189.99,1707387120000,53,2024-02-08 05:12:00-05:00
63,2277,190.0117,190.0,190.03,190.03,190.0,1707387300000,82,2024-02-08 05:15:00-05:00
64,1313,190.0656,190.08,190.08,190.08,190.08,1707387360000,55,2024-02-08 05:16:00-05:00
65,1343,190.0517,190.06,190.06,190.06,190.05,1707387420000,77,2024-02-08 05:17:00-05:00
66,2613,190.0044,190.0,190.0,190.0,189.99,1707387480000,87,2024-02-08 05:18:00-05:00
67,844,190.0339,190.04,190.05,190.05,190.04,1707387540000,47,2024-02-08 05:19:00-05:00
68,3989,189.9195,190.0,189.8,190.01,189.8,1707387600000,244,2024-02-08 05:20:00-05:00
69,1644,189.8953,189.9,189.9,189.9,189.9,1707387660000,62,2024-02-08 05:21:00-05:00
70,762,189.9364,189.94,189.94,189.94,189.94,1707387780000,48,2024-02-08 05:23:00-05:00
71,887,189.9307,189.94,189.9,189.94,189.9,1707387840000,50,2024-02-08 05:24:00-05:00
72,1724,189.8923,189.9,189.9,189.92,189.9,1707387900000,83,2024-02-08 05:25:00-05:00
73,4029,189.7987,189.8,189.86,189.86,189.76,1707387960000,141,2024-02-08 05:26:00-05:00
74,5886,189.9592,189.89,190.0,190.0,189.89,1707388080000,139,2024-02-08 05:28:00-05:00
75,661,189.8972,189.88,189.92,189.92,189.88,1707388200000,49,2024-02-08 05:30:00-05:00
76,482,189.8828,189.88,189.88,189.88,189.88,1707388260000,26,2024-02-08 05:31:00-05:00
77,858,189.8773,189.88,189.88,189.88,189.88,1707388380000,43,2024-02-08 05:33:00-05:00
