,v,vw,o,c,h,l,t,n,UNIXTIME
0,3231.0,188.852,188.8,189.0,189.0,188.71,1707728400000,142,2024-02-12 04:00:00-05:00
1,481.0,188.9957,189.0,189.0,189.0,189.0,1707728460000,36,2024-02-12 04:01:00-05:00
2,2828.0,189.1306,189.11,189.22,189.22,189.09,1707728520000,45,2024-02-12 04:02:00-05:00
3,1934.0,189.3456,189.27,189.32,189.39,189.27,1707728580000,66,2024-02-12 04:03:00-05:00
4,6609.0,189.3085,189.3,189.4,189.4,189.23,1707728640000,65,2024-02-12 04:04:00-05:00
5,1527.0,189.421,189.42,189.43,189.43,189.42,1707728700000,30,2024-02-12 04:05:00-05:00
6,3151.0,189.5911,189.47,189.63,189.67,189.47,1707728760000,72,2024-02-12 04:06:00-05:00
7,3979.0,189.8159,189.68,189.81,189.9,189.68,1707728820000,72,2024-02-12 04:07:00-05:00
8,540.0,189.8261,189.84,189.81,189.84,189.81,1707729000000,16,2024-02-12 04:10:00-05:00
9,2330.0,189.6831,189.77,189.59,189.77,189.59,1707729060000,55,2024-02-12 04:11:00-05:00
10,2471.0,189.5473,189.5,189.5,189.56,189.5,1707729120000,41,2024-02-12 04:12:00-05:00
11,956.0,189.5566,189.56,189.56,189.56,189.56,1707729180000,22,2024-02-12 04:13:00-05:00
12,909.0,189.5337,189.56,189.56,189.56,189.56,1707729240000,33,2024-02-12 04:14:00-05:00
13,250.0,189.4236,189.42,189.42,189.42,189.42,1707729540000,3,2024-02-12 04:19:00-05:00
14,720.0,189.3589,189.36,189.36,189.36,189.36,1707729840000,32,2024-02-12 04:24:00-05:00
15,608.0,189.1882,189.19,189.19,189.19,189.19,1707730200000,14,2024-02-12 04:30:00-05:00
16,184.0,189.2119,189.21,189.21,189.21,189.21,1707730260000,9,2024-02-12 04:31:00-05:00
17,603.0,189.1781,189.18,189.18,189.18,189.18,1707730440000,14,2024-02-12 04:34:00-05:00
18,606.0,189.1002,189.12,189.08,189.12,189.08,1707730560000,10,2024-02-12 04:36:00-05:00
19,399.0,189.0048,188.97,188.97,188.97,188.97,1707730740000,22,2024-02-12 04:39:00-05:00
20,828.0,189.0196,189.0,189.0,189.0,189.0,1707730860000,27,2024-02-12 04:41:00-05:00
21,1305.0,189.0469,189.05,189.04,189.05,189.04,1707731100000,22,2024-02-12 04:45:00-05:00
22,803.0,188.987,189.0,189.0,189.0,189.0,1707731220000,52,2024-02-12 04:47:00-05:00
23,2194.0,188.9925,188.99,189.0,189.0,188.99,1707731280000,22,2024-02-12 04:48:00-05:00
24,1179.0,188.9641,188.97,188.96,188.97,188.96,1707731640000,22,2024-02-12 04:54:00-05:00
25,1050.0,189.0111,188.98,189.07,189.07,188.98,1707731760000,24,2024-02-12 04:56:00-05:00
26,1460.0,189.0517,189.05,189.05,189.08,189.05,1707731820000,32,2024-02-12 04:57:00-05:00
27,381.0,188.8969,188.89,188.89,188.89,188.89,1707732360000,23,2024-02-12 05:06:00-05:00
28,288.0,188.8863,188.89,188.89,188.89,188.89,1707732420000,20,2024-02-12 05:07:00-05:00
29,1270.0,188.8514,188.87,188.85,188.87,188.85,1707732480000,57,2024-02-12 05:08:00-05:00
30,1814.0,188.8009,188.8,188.8,188.8,188.8,1707732660000,29,2024-02-12 05:11:00-05:00
31,152.0,188.8272,188.81,188.81,188.81,188.81,1707733260000,7,2024-02-12 05:21:00-05:00
32,2387.0,188.996,189.02,189.02,189.02,189.02,1707733440000,43,2024-02-12 05:24:00-05:00
33,770.0,188.9405,188.93,188.93,188.93,188.93,1707733500000,25,2024-02-12 05:25:00-05:00
34,792.0,188.9992,189.0,189.0,189.0,189.0,1707733680000,15,2024-02-12 05:28:00-05:00
35,272.0,188.9466,188.95,188.95,188.95,188.95,1707734280000,9,2024-02-12 05:38:00-05:00
36,272.0,188.9704,188.97,188.97,188.97,188.97,1707734700000,22,2024-02-12 05:45:00-05:00
37,358.0,188.9567,188.96,188.96,188.96,188.96,1707734760000,11,2024-02-12 05:46:00-05:00
