,v,vw,o,c,h,l,t,n,UNIXTIME
0,12588,193.5114,193.41,193.36,193.7,193.31,1707728400000,358,2024-02-12 04:00:00-05:00
1,10300,193.4034,193.36,193.45,193.47,193.35,1707728460000,210,2024-02-12 04:01:00-05:00
2,3860,193.6041,193.5,193.7,193.7,193.5,1707728520000,91,2024-02-12 04:02:00-05:00
3,2097,193.7428,193.7,193.85,193.85,193.7,1707728580000,70,2024-02-12 04:03:00-05:00
4,2999,193.8953,193.82,193.96,193.96,193.8,1707728640000,103,2024-02-12 04:04:00-05:00
5,3752,194.0251,194.0,194.04,194.05,193.96,1707728700000,120,2024-02-12 04:05:00-05:00
6,3861,194.0552,194.08,194.09,194.09,194.0,1707728760000,121,2024-02-12 04:06:00-05:00
7,3880,194.1344,194.09,194.2,194.2,194.07,1707728820000,122,2024-02-12 04:07:00-05:00
8,4653,194.3452,194.23,194.37,194.38,194.23,1707728880000,123,2024-02-12 04:08:00-05:00
9,6859,194.6283,194.45,194.7,194.8,194.45,1707728940000,216,2024-02-12 04:09:00-05:00
10,5732,194.7582,194.73,194.8,194.8,194.72,1707729000000,138,2024-02-12 04:10:00-05:00
11,5799,194.8565,194.89,194.8,194.89,194.8,1707729060000,174,2024-02-12 04:11:00-05:00
12,4462,194.8768,194.88,194.89,194.89,194.84,1707729120000,97,2024-02-12 04:12:00-05:00
13,3379,194.8096,194.87,194.82,194.87,194.79,1707729180000,125,2024-02-12 04:13:00-05:00
14,4849,194.7914,194.75,194.77,194.82,194.75,1707729240000,88,2024-02-12 04:14:00-05:00
15,3421,194.7586,194.77,194.75,194.77,194.7,1707729300000,97,2024-02-12 04:15:00-05:00
16,5400,194.7661,194.75,194.8,194.8,194.75,1707729360000,85,2024-02-12 04:16:00-05:00
17,1680,194.7799,194.77,194.8,194.8,194.77,1707729420000,72,2024-02-12 04:17:00-05:00
18,1452,194.7735,194.77,194.79,194.79,194.77,1707729540000,58,2024-02-12 04:19:00-05:00
19,3573,194.7146,194.75,194.7,194.75,194.7,1707729660000,129,2024-02-12 04:21:00-05:00
20,1682,194.7397,194.73,194.76,194.76,194.73,1707729720000,43,2024-02-12 04:22:00-05:00
21,2045,194.7182,194.71,194.7,194.71,194.7,1707729780000,85,2024-02-12 04:23:00-05:00
22,3541,194.7258,194.7,194.75,194.76,194.7,1707729900000,97,2024-02-12 04:25:00-05:00
23,1856,194.7105,194.72,194.7,194.72,194.7,1707729960000,58,2024-02-12 04:26:00-05:00
24,3736,194.7331,194.73,194.75,194.75,194.73,1707730020000,67,2024-02-12 04:27:00-05:00
25,2118,194.7121,194.74,194.73,194.74,194.7,1707730080000,52,2024-02-12 04:28:00-05:00
26,784,194.7611,194.76,194.76,194.76,194.76,1707730140000,23,2024-02-12 04:29:00-05:00
27,2190,194.8164,194.79,194.8,194.8,194.79,1707730260000,64,2024-02-12 04:31:00-05:00
28,990,194.8869,194.9,194.9,194.9,194.9,1707730320000,45,2024-02-12 04:32:00-05:00
29,2601,194.9301,194.9,194.98,194.98,194.9,1707730380000,97,2024-02-12 04:33:00-05:00
30,2831,194.9523,194.95,194.96,194.96,194.94,1707730440000,82,2024-02-12 04:34:00-05:00
31,5116,194.9851,194.98,194.99,195.0,194.96,1707730500000,155,2024-02-12 04:35:00-05:00
32,1736,194.9665,194.98,194.96,194.98,194.96,1707730560000,72,2024-02-12 04:36:00-05:00
33,2899,194.9471,194.95,194.96,194.96,194.93,1707730620000,65,2024-02-12 04:37:00-05:00
34,1415,194.9378,194.96,194.93,194.96,194.93,1707730680000,49,2024-02-12 04:38:00-05:00
35,2393,194.9223,194.96,194.88,194.96,194.88,1707730740000,94,2024-02-12 04:39:00-05:00
36,2582,194.8461,194.86,194.8,194.87,194.8,1707730800000,103,2024-02-12 04:40:00-05:00
37,1275,194.8062,194.8,194.8,194.8,194.8,1707730860000,61,2024-02-12 04:41:00-05:00
38,419,194.8107,194.8,194.8,194.8,194.8,1707730920000,25,2024-02-12 04:42:00-05:00
