,v,vw,o,c,h,l,t,n,UNIXTIME
0,4003.0,182.9386,182.7,183.0,183.18,182.7,1707987600000,160,2024-02-15 04:00:00-05:00
1,3674.0,183.0731,183.0,183.18,183.18,183.0,1707987660000,130,2024-02-15 04:01:00-05:00
2,1911.0,183.1136,183.1,183.15,183.15,183.1,1707987720000,40,2024-02-15 04:02:00-05:00
3,1634.0,183.0135,183.0,183.0,183.0,183.0,1707987780000,54,2024-02-15 04:03:00-05:00
4,2082.0,182.9205,182.91,182.9,182.91,182.88,1707987840000,83,2024-02-15 04:04:00-05:00
5,1938.0,182.8092,182.9,182.7,182.9,182.7,1707987960000,98,2024-02-15 04:06:00-05:00
6,2194.0,182.7582,182.7,182.78,182.8,182.7,1707988020000,60,2024-02-15 04:07:00-05:00
7,1025.0,182.7106,182.72,182.72,182.72,182.72,1707988140000,41,2024-02-15 04:09:00-05:00
8,472.0,182.6845,182.7,182.7,182.7,182.7,1707988200000,31,2024-02-15 04:10:00-05:00
9,221.0,182.6517,182.65,182.65,182.65,182.65,1707988260000,21,2024-02-15 04:11:00-05:00
10,1392.0,182.6304,182.6,182.65,182.65,182.6,1707988380000,50,2024-02-15 04:13:00-05:00
11,690.0,182.6812,182.7,182.7,182.7,182.7,1707988440000,30,2024-02-15 04:14:00-05:00
12,886.0,182.6931,182.7,182.7,182.7,182.7,1707988500000,20,2024-02-15 04:15:00-05:00
13,913.0,182.7025,182.7,182.7,182.7,182.7,1707988560000,26,2024-02-15 04:16:00-05:00
14,992.0,182.7042,182.73,182.73,182.73,182.73,1707988620000,38,2024-02-15 04:17:00-05:00
15,450.0,182.7126,182.71,182.71,182.71,182.71,1707988740000,25,2024-02-15 04:19:00-05:00
16,870.0,182.714,182.68,182.68,182.68,182.68,1707988800000,40,2024-02-15 04:20:00-05:00
17,2755.0,182.733,182.79,182.71,182.8,182.71,1707988860000,66,2024-02-15 04:21:00-05:00
18,1764.0,182.7171,182.72,182.7,182.72,182.7,1707989040000,65,2024-02-15 04:24:00-05:00
19,1157.0,182.7098,182.71,182.71,182.71,182.71,1707989160000,16,2024-02-15 04:26:00-05:00
20,1565.0,182.7657,182.74,182.74,182.75,182.74,1707989220000,46,2024-02-15 04:27:00-05:00
21,606.0,182.6941,182.69,182.69,182.69,182.69,1707989460000,24,2024-02-15 04:31:00-05:00
22,323.0,182.7227,182.72,182.72,182.72,182.72,1707989520000,13,2024-02-15 04:32:00-05:00
23,1805.0,182.7165,182.73,182.73,182.73,182.73,1707989580000,54,2024-02-15 04:33:00-05:00
24,1215.0,182.7248,182.72,182.73,182.73,182.72,1707989820000,37,2024-02-15 04:37:00-05:00
25,488.0,182.748,182.75,182.75,182.75,182.75,1707989940000,20,2024-02-15 04:39:00-05:00
26,317.0,182.7684,182.77,182.77,182.77,182.77,1707990000000,6,2024-02-15 04:40:00-05:00
27,578.0,182.7837,182.79,182.79,182.79,182.79,1707990240000,15,2024-02-15 04:44:00-05:00
28,551.0,182.7583,182.75,182.75,182.75,182.75,1707990300000,19,2024-02-15 04:45:00-05:00
29,511.0,182.7736,182.79,182.79,182.79,182.79,1707990360000,31,2024-02-15 04:46:00-05:00
30,2657.0,182.807,182.8,182.8,182.8,182.8,1707990540000,64,2024-02-15 04:49:00-05:00
31,773.0,182.8931,182.92,182.92,182.92,182.92,1707990660000,31,2024-02-15 04:51:00-05:00
32,3431.0,182.903,182.9,182.9,182.9,182.9,1707990840000,42,2024-02-15 04:54:00-05:00
33,936.0,182.8776,182.88,182.88,182.88,182.87,1707991140000,16,2024-02-15 04:59:00-05:00
34,753.0,182.8168,182.82,182.82,182.82,182.82,1707991680000,30,2024-02-15 05:08:00-05:00
35,1489.0,182.762,182.77,182.75,182.77,182.75,1707991860000,63,2024-02-15 05:11:00-05:00
36,1016.0,182.6757,182.68,182.65,182.68,182.65,1707992040000,109,2024-02-15 05:14:00-05:00
37,1390.0,182.5609,182.6,182.56,182.6,182.56,1707992100000,139,2024-02-15 05:15:00-05:00
38,1272.0,182.5038,182.5,182.5,182.5,182.5,1707992160000,79,2024-02-15 05:16:00-05:00
39,1735.0,182.473,182.44,182.52,182.52,182.44,1707992340000,68,2024-02-15 05:19:00-05:00
40,605.0,182.4461,182.45,182.45,182.45,182.45,1707992460000,29,2024-02-15 05:21:00-05:00
41,839.0,182.3706,182.4,182.33,182.4,182.33,1707992580000,67,2024-02-15 05:23:00-05:00
42,942.0,182.3585,182.33,182.33,182.33,182.33,1707992640000,35,2024-02-15 05:24:00-05:00
43,722.0,182.3558,182.35,182.35,182.35,182.35,1707992760000,31,2024-02-15 05:26:00-05:00
