,v,vw,o,c,h,l,t,n,UNIXTIME
0,7319.0,178.9117,178.99,178.77,179.3,178.7,1707210000000,367,2024-02-06 04:00:00-05:00
1,8424.0,178.8487,178.77,178.8,178.91,178.77,1707210060000,288,2024-02-06 04:01:00-05:00
2,6192.0,178.7842,178.86,178.75,178.88,178.7,1707210120000,215,2024-02-06 04:02:00-05:00
3,6212.0,178.8746,178.8,178.9,178.97,178.8,1707210180000,161,2024-02-06 04:03:00-05:00
4,8392.0,178.9993,178.85,179.0,179.06,178.85,1707210240000,165,2024-02-06 04:04:00-05:00
5,5291.0,179.2073,179.07,179.3,179.3,179.07,1707210300000,131,2024-02-06 04:05:00-05:00
6,5031.0,179.3418,179.34,179.28,179.44,179.25,1707210360000,148,2024-02-06 04:06:00-05:00
7,2176.0,179.2203,179.27,179.22,179.27,179.19,1707210420000,71,2024-02-06 04:07:00-05:00
8,2047.0,179.1725,179.2,179.18,179.2,179.18,1707210480000,111,2024-02-06 04:08:00-05:00
9,951.0,179.1557,179.18,179.18,179.18,179.18,1707210540000,61,2024-02-06 04:09:00-05:00
10,5412.0,179.0761,179.19,179.0,179.19,179.0,1707210600000,249,2024-02-06 04:10:00-05:00
11,6070.0,178.8939,179.01,178.81,179.01,178.8,1707210660000,235,2024-02-06 04:11:00-05:00
12,7715.0,178.6075,178.82,178.5,178.82,178.5,1707210720000,312,2024-02-06 04:12:00-05:00
13,7206.0,178.4053,178.37,178.29,178.49,178.29,1707210780000,274,2024-02-06 04:13:00-05:00
14,5147.0,178.3411,178.25,178.37,178.38,178.25,1707210840000,145,2024-02-06 04:14:00-05:00
15,2215.0,178.4166,178.39,178.43,178.44,178.37,1707210900000,93,2024-02-06 04:15:00-05:00
16,3556.0,178.3893,178.4,178.39,178.4,178.38,1707210960000,125,2024-02-06 04:16:00-05:00
17,4884.0,178.3765,178.36,178.39,178.4,178.34,1707211020000,120,2024-02-06 04:17:00-05:00
18,2056.0,178.3843,178.42,178.37,178.43,178.35,1707211080000,124,2024-02-06 04:18:00-05:00
19,3219.0,178.3351,178.32,178.39,178.39,178.32,1707211140000,98,2024-02-06 04:19:00-05:00
20,8621.0,178.1913,178.31,178.04,178.31,178.02,1707211200000,334,2024-02-06 04:20:00-05:00
21,2847.0,178.1035,178.11,178.07,178.2,178.07,1707211260000,100,2024-02-06 04:21:00-05:00
22,6509.0,178.0535,178.09,178.03,178.1,178.03,1707211320000,231,2024-02-06 04:22:00-05:00
23,16494.0,177.9524,178.03,177.88,178.04,177.85,1707211380000,702,2024-02-06 04:23:00-05:00
24,9984.0,177.6236,177.82,177.44,177.82,177.44,1707211440000,398,2024-02-06 04:24:00-05:00
25,16915.0,177.4118,177.42,177.27,177.55,177.21,1707211500000,386,2024-02-06 04:25:00-05:00
26,14228.0,177.1499,177.24,177.15,177.24,177.06,1707211560000,339,2024-02-06 04:26:00-05:00
27,18756.0,176.8882,177.11,176.71,177.13,176.7,1707211620000,803,2024-02-06 04:27:00-05:00
28,17449.0,177.0178,176.71,177.23,177.3,176.71,1707211680000,320,2024-02-06 04:28:00-05:00
29,8053.0,177.272,177.32,177.3,177.35,177.2,1707211740000,210,2024-02-06 04:29:00-05:00
30,5541.0,177.3549,177.29,177.4,177.4,177.29,1707211800000,155,2024-02-06 04:30:00-05:00
31,4176.0,177.3978,177.45,177.44,177.46,177.33,1707211860000,155,2024-02-06 04:31:00-05:00
32,3430.0,177.3555,177.33,177.3,177.43,177.3,1707211920000,183,2024-02-06 04:32:00-05:00
33,2189.0,177.2546,177.32,177.25,177.32,177.22,1707211980000,140,2024-02-06 04:33:00-05:00
34,2823.0,177.1762,177.22,177.06,177.22,177.06,1707212040000,185,2024-02-06 04:34:00-05:00
35,3246.0,177.1564,177.15,177.11,177.16,177.11,1707212100000,125,2024-02-06 04:35:00-05:00
36,2810.0,177.2189,177.21,177.16,177.3,177.16,1707212160000,140,2024-02-06 04:36:00-05:00
37,1434.0,177.1837,177.19,177.19,177.19,177.19,1707212220000,98,2024-02-06 04:37:00-05:00
38,3603.0,177.1752,177.19,177.11,177.19,177.11,1707212280000,166,2024-02-06 04:38:00-05:00
39,4505.0,177.2777,177.17,177.38,177.4,177.17,1707212340000,171,2024-02-06 04:39:00-05:00
40,3795.0,177.399,177.33,177.39,177.42,177.33,1707212400000,143,2024-02-06 04:40:00-05:00
41,1739.0,177.384,177.35,177.35,177.35,177.35,1707212460000,118,2024-02-06 04:41:00-05:00
42,2234.0,177.3818,177.33,177.41,177.41,177.33,1707212520000,117,2024-02-06 04:42:00-05:00
43,2131.0,177.4782,177.51,177.51,177.51,177.51,1707212580000,98,2024-02-06 04:43:00-05:00
44,1755.0,177.4098,177.43,177.4,177.43,177.38,1707212640000,81,2024-02-06 04:44:00-05:00
45,12420.0,177.4935,177.4,177.51,177.51,177.4,1707212700000,157,2024-02-06 04:45:00-05:00
46,5395.0,177.4149,177.51,177.33,177.51,177.33,1707212760000,180,2024-02-06 04:46:00-05:00
47,2386.0,177.3357,177.38,177.3,177.38,177.3,1707212820000,137,2024-02-06 04:47:00-05:00
48,1889.0,177.2132,177.25,177.18,177.25,177.18,1707212940000,118,2024-02-06 04:49:00-05:00
49,1598.0,177.1997,177.2,177.21,177.21,177.19,1707213000000,93,2024-02-06 04:50:00-05:00
50,12046.0,177.0643,177.2,176.9,177.2,176.9,1707213120000,670,2024-02-06 04:52:00-05:00
51,3239.0,176.9219,176.89,176.91,176.96,176.89,1707213180000,139,2024-02-06 04:53:00-05:00
52,4352.0,176.8874,176.91,176.85,176.91,176.85,1707213240000,145,2024-02-06 04:54:00-05:00
53,4917.0,176.7969,176.85,176.71,176.85,176.71,1707213300000,277,2024-02-06 04:55:00-05:00
54,2245.0,176.799,176.8,176.81,176.84,176.8,1707213360000,113,2024-02-06 04:56:00-05:00
55,4191.0,176.7247,176.78,176.71,176.78,176.66,1707213420000,199,2024-02-06 04:57:00-05:00
56,6911.0,176.8021,176.76,176.75,176.89,176.75,1707213480000,237,2024-02-06 04:58:00-05:00
57,5927.0,176.7342,176.71,176.75,176.82,176.7,1707213540000,192,2024-02-06 04:59:00-05:00
58,5919.0,176.6113,176.68,176.57,176.68,176.55,1707213600000,301,2024-02-06 05:00:00-05:00
59,8795.0,176.5115,176.56,176.44,176.61,176.44,1707213660000,397,2024-02-06 05:01:00-05:00
60,15875.0,176.6682,176.5,176.72,176.8,176.5,1707213720000,251,2024-02-06 05:02:00-05:00
61,4682.0,176.9497,176.82,176.94,177.0,176.82,1707213780000,136,2024-02-06 05:03:00-05:00
62,2229.0,176.94,176.99,176.91,176.99,176.91,1707213840000,124,2024-02-06 05:04:00-05:00
63,4698.0,177.0075,176.95,176.97,177.03,176.95,1707213900000,148,2024-02-06 05:05:00-05:00
64,4009.0,176.9717,176.99,176.97,176.99,176.94,1707213960000,139,2024-02-06 05:06:00-05:00
65,2606.0,176.9345,176.97,176.92,176.97,176.89,1707214020000,152,2024-02-06 05:07:00-05:00
66,1350.0,176.8505,176.86,176.86,176.86,176.86,1707214080000,112,2024-02-06 05:08:00-05:00
67,2362.0,176.8501,176.87,176.81,176.87,176.81,1707214140000,147,2024-02-06 05:09:00-05:00
68,1227.0,176.7853,176.81,176.81,176.81,176.81,1707214200000,85,2024-02-06 05:10:00-05:00
69,2419.0,176.7136,176.75,176.66,176.75,176.66,1707214320000,172,2024-02-06 05:12:00-05:00
70,2486.0,176.7185,176.69,176.74,176.74,176.69,1707214380000,118,2024-02-06 05:13:00-05:00
71,3338.0,176.7335,176.74,176.74,176.81,176.64,1707214440000,157,2024-02-06 05:14:00-05:00
72,3267.0,176.6536,176.64,176.73,176.73,176.61,1707214500000,163,2024-02-06 05:15:00-05:00
73,2204.0,176.6821,176.71,176.71,176.71,176.65,1707214560000,88,2024-02-06 05:16:00-05:00
74,2623.0,176.6815,176.65,176.7,176.7,176.65,1707214620000,97,2024-02-06 05:17:00-05:00
75,1708.0,176.7371,176.74,176.74,176.74,176.74,1707214680000,57,2024-02-06 05:18:00-05:00
76,1903.0,176.7126,176.7,176.73,176.73,176.68,1707214740000,85,2024-02-06 05:19:00-05:00
77,1329.0,176.6928,176.7,176.7,176.7,176.7,1707214800000,116,2024-02-06 05:20:00-05:00
78,1542.0,176.6582,176.65,176.65,176.65,176.65,1707214860000,111,2024-02-06 05:21:00-05:00
79,2222.0,176.6671,176.67,176.63,176.67,176.63,1707214920000,130,2024-02-06 05:22:00-05:00
80,4979.0,176.6303,176.61,176.67,176.67,176.61,1707214980000,149,2024-02-06 05:23:00-05:00
