,v,vw,o,c,h,l,t,n,UNIXTIME
0,9192.0,186.1572,186.52,186.13,186.52,186.0,1707814800000,246,2024-02-13 04:00:00-05:00
1,599.0,186.2106,186.2,186.2,186.2,186.2,1707814860000,31,2024-02-13 04:01:00-05:00
2,743.0,186.2725,186.28,186.28,186.28,186.28,1707815100000,25,2024-02-13 04:05:00-05:00
3,1443.0,186.3947,186.41,186.41,186.41,186.41,1707815160000,42,2024-02-13 04:06:00-05:00
4,1200.0,186.3947,186.4,186.4,186.4,186.4,1707815280000,30,2024-02-13 04:08:00-05:00
5,1047.0,186.4797,186.49,186.5,186.5,186.49,1707815460000,25,2024-02-13 04:11:00-05:00
6,1784.0,186.4277,186.37,186.5,186.5,186.37,1707815520000,48,2024-02-13 04:12:00-05:00
7,662.0,186.4996,186.5,186.5,186.5,186.5,1707815760000,9,2024-02-13 04:16:00-05:00
8,387.0,186.6052,186.61,186.61,186.61,186.61,1707816000000,10,2024-02-13 04:20:00-05:00
9,1128.0,186.6004,186.6,186.6,186.6,186.6,1707816300000,22,2024-02-13 04:25:00-05:00
10,271.0,186.527,186.52,186.52,186.52,186.52,1707816420000,23,2024-02-13 04:27:00-05:00
11,1160.0,186.5154,186.52,186.52,186.52,186.52,1707816480000,28,2024-02-13 04:28:00-05:00
12,761.0,186.4221,186.42,186.42,186.42,186.42,1707816540000,44,2024-02-13 04:29:00-05:00
13,858.0,186.3198,186.32,186.32,186.32,186.32,1707816660000,18,2024-02-13 04:31:00-05:00
14,913.0,186.2637,186.27,186.27,186.27,186.27,1707816720000,39,2024-02-13 04:32:00-05:00
15,444.0,186.192,186.19,186.19,186.19,186.19,1707816780000,42,2024-02-13 04:33:00-05:00
16,988.0,186.1757,186.19,186.17,186.19,186.17,1707817020000,17,2024-02-13 04:37:00-05:00
17,3425.0,186.1592,186.15,186.15,186.15,186.15,1707817080000,128,2024-02-13 04:38:00-05:00
18,703.0,186.1375,186.11,186.11,186.11,186.11,1707817200000,24,2024-02-13 04:40:00-05:00
19,413.0,186.1901,186.19,186.19,186.19,186.19,1707817440000,11,2024-02-13 04:44:00-05:00
20,112.0,186.1979,186.2,186.2,186.2,186.2,1707817500000,6,2024-02-13 04:45:00-05:00
21,718.0,186.1325,186.16,186.11,186.16,186.11,1707817560000,34,2024-02-13 04:46:00-05:00
22,605.0,186.1055,186.11,186.11,186.11,186.11,1707817620000,28,2024-02-13 04:47:00-05:00
23,2151.0,185.9984,186.0,186.0,186.0,186.0,1707818820000,152,2024-02-13 05:07:00-05:00
24,291.0,185.99,185.99,185.99,185.99,185.99,1707818880000,20,2024-02-13 05:08:00-05:00
25,569.0,186.0033,186.01,186.01,186.01,186.01,1707818940000,21,2024-02-13 05:09:00-05:00
26,945.0,185.9997,185.99,185.99,185.99,185.99,1707819000000,35,2024-02-13 05:10:00-05:00
27,725.0,186.0037,186.0,186.0,186.0,186.0,1707819060000,14,2024-02-13 05:11:00-05:00
28,2852.0,185.8486,185.85,185.83,185.88,185.83,1707819720000,56,2024-02-13 05:22:00-05:00
29,1310.0,185.8014,185.8,185.8,185.8,185.8,1707819900000,64,2024-02-13 05:25:00-05:00
30,298.0,185.8401,185.84,185.84,185.84,185.84,1707820080000,22,2024-02-13 05:28:00-05:00
31,373.0,185.8578,185.84,185.84,185.84,185.84,1707820200000,21,2024-02-13 05:30:00-05:00
32,823.0,185.9047,185.88,185.88,185.88,185.88,1707820320000,38,2024-02-13 05:32:00-05:00
33,1090.0,185.9313,185.93,185.93,185.93,185.93,1707821160000,19,2024-02-13 05:46:00-05:00
34,584.0,185.9017,185.9,185.9,185.9,185.9,1707821220000,25,2024-02-13 05:47:00-05:00
35,129.0,185.8271,185.83,185.83,185.83,185.83,1707821520000,5,2024-02-13 05:52:00-05:00
36,185.0,185.7841,185.79,185.79,185.79,185.79,1707821700000,7,2024-02-13 05:55:00-05:00
37,962.0,185.8005,185.8,185.8,185.8,185.8,1707821940000,15,2024-02-13 05:59:00-05:00
38,2035.0,185.7997,185.8,185.8,185.8,185.8,1707822240000,24,2024-02-13 06:04:00-05:00
39,1452.0,185.8089,185.81,185.81,185.81,185.81,1707822660000,31,2024-02-13 06:11:00-05:00
40,1120.0,185.8136,185.82,185.81,185.82,185.81,1707822900000,18,2024-02-13 06:15:00-05:00
41,532.0,185.8466,185.84,185.85,185.85,185.84,1707822960000,16,2024-02-13 06:16:00-05:00
42,691.0,185.8521,185.85,185.85,185.85,185.85,1707823020000,23,2024-02-13 06:17:00-05:00
43,809.0,185.8239,185.81,185.81,185.81,185.81,1707823080000,30,2024-02-13 06:18:00-05:00
44,570.0,185.8386,185.84,185.84,185.84,185.84,1707823260000,10,2024-02-13 06:21:00-05:00
45,1311.0,185.9191,185.93,185.93,185.93,185.92,1707823560000,36,2024-02-13 06:26:00-05:00
46,1066.0,185.9905,185.99,185.99,185.99,185.98,1707823620000,37,2024-02-13 06:27:00-05:00
47,767.0,186.0205,186.01,186.03,186.03,186.01,1707823860000,16,2024-02-13 06:31:00-05:00
48,407.0,186.0174,186.01,186.02,186.02,186.01,1707823920000,15,2024-02-13 06:32:00-05:00
49,459.0,186.0458,186.05,186.04,186.05,186.04,1707824400000,25,2024-02-13 06:40:00-05:00
50,351.0,186.0456,186.06,186.06,186.06,186.06,1707824580000,17,2024-02-13 06:43:00-05:00
51,3529.0,185.8505,185.86,185.81,185.86,185.81,1707825060000,93,2024-02-13 06:51:00-05:00
52,847.0,185.7455,185.73,185.73,185.73,185.73,1707825300000,22,2024-02-13 06:55:00-05:00
53,872.0,185.8069,185.81,185.83,185.83,185.81,1707825420000,33,2024-02-13 06:57:00-05:00
54,795.0,185.8118,185.8,185.82,185.82,185.8,1707825540000,17,2024-02-13 06:59:00-05:00
55,5825.0,185.9305,185.91,185.99,186.0,185.87,1707825600000,160,2024-02-13 07:00:00-05:00
56,2337.0,185.9702,185.99,186.0,186.0,185.99,1707825660000,79,2024-02-13 07:01:00-05:00
57,561.0,186.0278,186.0,186.0,186.0,186.0,1707825720000,22,2024-02-13 07:02:00-05:00
58,789.0,186.0185,186.01,186.02,186.02,186.01,1707825780000,11,2024-02-13 07:03:00-05:00
59,279.0,186.0371,186.02,186.02,186.02,186.02,1707825840000,14,2024-02-13 07:04:00-05:00
60,3008.0,186.0207,186.0,186.06,186.06,186.0,1707825900000,58,2024-02-13 07:05:00-05:00
61,1082.0,186.0067,186.0,186.01,186.01,186.0,1707825960000,17,2024-02-13 07:06:00-05:00
62,475.0,186.0165,186.01,186.01,186.01,186.01,1707826080000,27,2024-02-13 07:08:00-05:00
63,947.0,186.0053,186.0,186.0,186.0,186.0,1707826140000,23,2024-02-13 07:09:00-05:00
64,359.0,186.0425,186.06,186.06,186.06,186.06,1707826260000,22,2024-02-13 07:11:00-05:00
65,211.0,186.0518,186.05,186.05,186.05,186.05,1707826680000,18,2024-02-13 07:18:00-05:00
66,222.0,186.0842,186.09,186.09,186.09,186.09,1707826740000,14,2024-02-13 07:19:00-05:00
67,326.0,186.0318,186.03,186.03,186.03,186.03,1707827160000,10,2024-02-13 07:26:00-05:00
68,1860.0,186.0392,186.03,186.04,186.05,186.02,1707827280000,53,2024-02-13 07:28:00-05:00
69,520.0,186.0402,186.04,186.04,186.04,186.04,1707827340000,9,2024-02-13 07:29:00-05:00
70,234.0,186.0338,186.04,186.04,186.04,186.04,1707827400000,20,2024-02-13 07:30:00-05:00
71,467.0,186.0199,186.01,186.01,186.01,186.01,1707827460000,17,2024-02-13 07:31:00-05:00
72,440.0,186.0503,186.05,186.05,186.05,186.05,1707827640000,20,2024-02-13 07:34:00-05:00
73,399.0,186.0038,186.0,186.0,186.0,186.0,1707827820000,33,2024-02-13 07:37:00-05:00
74,1981.0,186.0018,186.0,186.0,186.0,186.0,1707827880000,38,2024-02-13 07:38:00-05:00
75,852.0,186.0027,186.02,186.0,186.02,186.0,1707827940000,61,2024-02-13 07:39:00-05:00
76,753.0,185.9901,185.99,185.99,185.99,185.99,1707828000000,70,2024-02-13 07:40:00-05:00
77,1047.0,185.9914,185.98,186.0,186.0,185.98,1707828060000,18,2024-02-13 07:41:00-05:00
78,545.0,185.9891,185.99,185.99,185.99,185.99,1707828360000,20,2024-02-13 07:46:00-05:00
79,137.0,185.9897,185.99,185.99,185.99,185.99,1707828420000,11,2024-02-13 07:47:00-05:00
80,2276.0,185.946,185.99,185.94,185.99,185.94,1707828480000,100,2024-02-13 07:48:00-05:00
81,356.0,185.9472,185.95,185.95,185.95,185.95,1707828720000,20,2024-02-13 07:52:00-05:00
82,2729.0,186.0026,186.0,186.0,186.03,186.0,1707828780000,62,2024-02-13 07:53:00-05:00
83,2265.0,186.0828,186.05,186.1,186.1,186.05,1707828840000,94,2024-02-13 07:54:00-05:00
84,3845.0,186.0854,186.1,186.06,186.1,186.06,1707828900000,57,2024-02-13 07:55:00-05:00
85,1337.0,186.144,186.13,186.16,186.16,186.13,1707829080000,69,2024-02-13 07:58:00-05:00
86,327.0,186.1442,186.14,186.14,186.14,186.14,1707829140000,11,2024-02-13 07:59:00-05:00
87,26838.0,186.0403,185.97,185.98,186.15,185.92,1707829200000,690,2024-02-13 08:00:00-05:00
88,1538344.0,187.1482,185.9548,186.17,186.61,185.9548,1707829260000,411,2024-02-13 08:01:00-05:00
89,9305.0,186.8034,186.16,186.9,187.02,186.16,1707829320000,871,2024-02-13 08:02:00-05:00
90,6442.0,186.5621,186.86,187.02,187.02,186.29,1707829380000,284,2024-02-13 08:03:00-05:00
91,3627.0,186.5521,186.19,186.34,187.03,186.19,1707829440000,239,2024-02-13 08:04:00-05:00
92,1380.0,186.6567,186.37,186.34,186.9,186.34,1707829500000,148,2024-02-13 08:05:00-05:00
93,1168.0,186.3387,186.33,186.34,186.34,186.33,1707829560000,44,2024-02-13 08:06:00-05:00
94,2166.0,186.3925,186.38,186.45,186.45,186.38,1707829620000,51,2024-02-13 08:07:00-05:00
95,1637.0,186.4049,186.45,186.38,186.45,186.38,1707829680000,72,2024-02-13 08:08:00-05:00
96,1670.0,186.3866,186.3432,186.41,186.41,186.3432,1707829740000,57,2024-02-13 08:09:00-05:00
97,617.0,186.4247,186.43,186.43,186.43,186.43,1707829800000,39,2024-02-13 08:10:00-05:00
98,1618.0,186.3601,186.34,186.34,186.34,186.34,1707829860000,79,2024-02-13 08:11:00-05:00
99,1907.0,186.3883,186.36,186.45,186.45,186.36,1707829920000,55,2024-02-13 08:12:00-05:00
100,4993.0,186.3681,186.34,186.39,186.39,186.34,1707830100000,144,2024-02-13 08:15:00-05:00
101,2638.0,186.3654,186.39,186.32,186.44,186.32,1707830160000,60,2024-02-13 08:16:00-05:00
102,1379.0,186.3552,186.36,186.36,186.36,186.36,1707830280000,32,2024-02-13 08:18:00-05:00
103,560.0,186.3262,186.32,186.32,186.32,186.32,1707830340000,36,2024-02-13 08:19:00-05:00
104,1513.0,186.3299,186.3581,186.32,186.3581,186.32,1707830400000,46,2024-02-13 08:20:00-05:00
105,2681.0,186.3296,186.33,186.33,186.33,186.32,1707830460000,42,2024-02-13 08:21:00-05:00
106,1046.0,186.332,186.3312,186.32,186.34,186.32,1707830520000,40,2024-02-13 08:22:00-05:00
107,732.0,186.3463,186.3599,186.3211,186.3599,186.3211,1707830580000,23,2024-02-13 08:23:00-05:00
108,1248.0,186.3655,186.36,186.333,186.39,186.333,1707830640000,33,2024-02-13 08:24:00-05:00
109,685.0,186.3908,186.39,186.39,186.39,186.39,1707830700000,35,2024-02-13 08:25:00-05:00
