,v,vw,o,c,h,l,t,n,UNIXTIME
0,18541.0,182.7286,182.4,182.85,182.97,182.02,1706864400000,307,2024-02-02 04:00:00-05:00
1,12102.0,182.9511,182.88,182.8,183.01,182.8,1706864460000,230,2024-02-02 04:01:00-05:00
2,14073.0,182.5259,182.8,182.56,182.8,182.38,1706864520000,226,2024-02-02 04:02:00-05:00
3,4783.0,182.6066,182.62,182.6,182.62,182.49,1706864580000,108,2024-02-02 04:03:00-05:00
4,3011.0,182.7036,182.81,182.65,182.81,182.65,1706864640000,76,2024-02-02 04:04:00-05:00
5,8349.0,182.8326,182.84,182.85,182.92,182.78,1706864700000,129,2024-02-02 04:05:00-05:00
6,1213.0,182.7348,182.72,182.7,182.72,182.7,1706864760000,63,2024-02-02 04:06:00-05:00
7,1411.0,182.7538,182.8,182.8,182.8,182.8,1706864820000,55,2024-02-02 04:07:00-05:00
8,744.0,182.7836,182.79,182.79,182.79,182.79,1706864880000,42,2024-02-02 04:08:00-05:00
9,5954.0,182.7772,182.78,182.8,182.85,182.7,1706864940000,146,2024-02-02 04:09:00-05:00
10,5127.0,182.8342,182.85,182.76,182.86,182.76,1706865000000,113,2024-02-02 04:10:00-05:00
11,3969.0,182.8744,182.87,182.9,182.9,182.76,1706865060000,76,2024-02-02 04:11:00-05:00
12,2681.0,182.8963,182.91,182.8,182.95,182.8,1706865120000,100,2024-02-02 04:12:00-05:00
13,4681.0,182.813,182.89,182.83,182.89,182.8,1706865180000,81,2024-02-02 04:13:00-05:00
14,2223.0,182.7942,182.8,182.76,182.83,182.76,1706865240000,69,2024-02-02 04:14:00-05:00
15,5336.0,182.5611,182.76,182.4,182.76,182.4,1706865300000,243,2024-02-02 04:15:00-05:00
16,1330.0,182.4055,182.45,182.35,182.45,182.35,1706865360000,62,2024-02-02 04:16:00-05:00
17,1634.0,182.4419,182.45,182.4,182.45,182.4,1706865420000,62,2024-02-02 04:17:00-05:00
18,1437.0,182.3933,182.4,182.4,182.4,182.38,1706865480000,36,2024-02-02 04:18:00-05:00
19,1514.0,182.4823,182.41,182.5,182.5,182.41,1706865540000,43,2024-02-02 04:19:00-05:00
20,3815.0,182.5132,182.54,182.5,182.54,182.5,1706865600000,60,2024-02-02 04:20:00-05:00
21,1749.0,182.5012,182.5,182.5,182.5,182.5,1706865660000,40,2024-02-02 04:21:00-05:00
22,5270.0,182.4367,182.46,182.4,182.46,182.4,1706865720000,85,2024-02-02 04:22:00-05:00
23,1675.0,182.4569,182.41,182.5,182.5,182.41,1706865780000,39,2024-02-02 04:23:00-05:00
24,4654.0,182.4634,182.5,182.36,182.5,182.36,1706865840000,97,2024-02-02 04:24:00-05:00
25,3033.0,182.3939,182.36,182.4,182.4,182.36,1706865900000,33,2024-02-02 04:25:00-05:00
26,3889.0,182.338,182.4,182.2,182.41,182.2,1706865960000,158,2024-02-02 04:26:00-05:00
27,442.0,182.1719,182.16,182.16,182.16,182.16,1706866020000,36,2024-02-02 04:27:00-05:00
28,7116.0,182.3739,182.22,182.22,182.5,182.22,1706866080000,105,2024-02-02 04:28:00-05:00
29,316.0,182.3663,182.36,182.36,182.36,182.36,1706866260000,21,2024-02-02 04:31:00-05:00
30,470.0,182.4276,182.43,182.43,182.43,182.43,1706866320000,31,2024-02-02 04:32:00-05:00
31,1274.0,182.4313,182.39,182.46,182.46,182.39,1706866380000,45,2024-02-02 04:33:00-05:00
32,825.0,182.4661,182.48,182.46,182.48,182.46,1706866440000,21,2024-02-02 04:34:00-05:00
33,862.0,182.484,182.5,182.5,182.5,182.5,1706866500000,27,2024-02-02 04:35:00-05:00
34,408.0,182.4892,182.5,182.5,182.5,182.5,1706866560000,39,2024-02-02 04:36:00-05:00
35,1482.0,182.4406,182.47,182.4,182.47,182.4,1706866620000,78,2024-02-02 04:37:00-05:00
36,1920.0,182.4132,182.36,182.43,182.43,182.36,1706866680000,32,2024-02-02 04:38:00-05:00
37,898.0,182.3836,182.4,182.4,182.4,182.4,1706866740000,41,2024-02-02 04:39:00-05:00
38,704.0,182.3823,182.38,182.38,182.38,182.38,1706866800000,24,2024-02-02 04:40:00-05:00
39,287.0,182.3947,182.39,182.39,182.39,182.39,1706866860000,13,2024-02-02 04:41:00-05:00
40,858.0,182.2943,182.31,182.31,182.31,182.31,1706866920000,107,2024-02-02 04:42:00-05:00
41,1793.0,182.2455,182.22,182.37,182.37,182.22,1706866980000,76,2024-02-02 04:43:00-05:00
42,1674.0,182.3575,182.37,182.38,182.38,182.37,1706867040000,58,2024-02-02 04:44:00-05:00
43,515.0,182.3689,182.37,182.37,182.37,182.37,1706867160000,21,2024-02-02 04:46:00-05:00
44,3712.0,182.4628,182.37,182.5,182.5,182.37,1706867280000,74,2024-02-02 04:48:00-05:00
45,4654.0,182.4993,182.5,182.5,182.5,182.5,1706867340000,67,2024-02-02 04:49:00-05:00
46,996.0,182.4539,182.45,182.45,182.45,182.45,1706867460000,29,2024-02-02 04:51:00-05:00
47,476.0,182.4147,182.41,182.41,182.41,182.41,1706867520000,38,2024-02-02 04:52:00-05:00
48,1694.0,182.4088,182.36,182.4,182.4,182.36,1706867700000,60,2024-02-02 04:55:00-05:00
49,1211.0,182.4608,182.44,182.49,182.49,182.44,1706867820000,24,2024-02-02 04:57:00-05:00
50,717.0,182.4395,182.45,182.44,182.45,182.44,1706867940000,22,2024-02-02 04:59:00-05:00
51,3583.0,182.3099,182.4,182.24,182.4,182.22,1706868000000,158,2024-02-02 05:00:00-05:00
52,3562.0,182.3717,182.4,182.32,182.4,182.32,1706868060000,39,2024-02-02 05:01:00-05:00
53,1744.0,182.3143,182.35,182.35,182.35,182.35,1706868120000,63,2024-02-02 05:02:00-05:00
54,663.0,182.3092,182.32,182.32,182.32,182.32,1706868180000,18,2024-02-02 05:03:00-05:00
55,8290.0,182.0434,182.27,181.98,182.27,181.98,1706868240000,395,2024-02-02 05:04:00-05:00
56,3240.0,181.8496,181.89,181.94,181.94,181.8,1706868300000,125,2024-02-02 05:05:00-05:00
57,1358.0,181.9651,181.95,181.98,181.98,181.95,1706868360000,22,2024-02-02 05:06:00-05:00
58,1444.0,182.0844,182.09,182.1,182.1,182.09,1706868480000,33,2024-02-02 05:08:00-05:00
59,1321.0,182.0226,182.09,182.08,182.09,182.0,1706868540000,42,2024-02-02 05:09:00-05:00
60,1775.0,182.0427,182.07,182.0,182.09,182.0,1706868600000,61,2024-02-02 05:10:00-05:00
61,1603.0,182.1291,182.09,182.18,182.18,182.09,1706868720000,47,2024-02-02 05:12:00-05:00
62,326.0,182.1899,182.2,182.2,182.2,182.2,1706868780000,15,2024-02-02 05:13:00-05:00
63,644.0,182.118,182.12,182.12,182.12,182.12,1706869020000,24,2024-02-02 05:17:00-05:00
64,3036.0,182.0678,182.11,182.01,182.12,182.01,1706869080000,84,2024-02-02 05:18:00-05:00
65,1352.0,182.1125,182.11,182.12,182.12,182.11,1706869200000,38,2024-02-02 05:20:00-05:00
66,559.0,182.0596,182.06,182.06,182.06,182.06,1706869260000,27,2024-02-02 05:21:00-05:00
67,2591.0,181.9986,182.01,181.98,182.01,181.98,1706869320000,150,2024-02-02 05:22:00-05:00
68,761.0,181.9096,181.9,181.9,181.9,181.9,1706869380000,40,2024-02-02 05:23:00-05:00
69,228.0,181.9105,181.9,181.9,181.9,181.9,1706869440000,18,2024-02-02 05:24:00-05:00
70,872.0,181.9613,181.97,181.97,181.97,181.97,1706869500000,25,2024-02-02 05:25:00-05:00
71,1590.0,182.014,181.97,182.1,182.1,181.97,1706869560000,38,2024-02-02 05:26:00-05:00
72,649.0,182.1466,182.16,182.16,182.16,182.16,1706869620000,32,2024-02-02 05:27:00-05:00
73,2935.0,182.1234,182.14,182.08,182.14,182.08,1706869680000,63,2024-02-02 05:28:00-05:00
74,2500.0,182.0883,182.1,182.07,182.1,182.07,1706869740000,52,2024-02-02 05:29:00-05:00
75,377.0,182.0434,182.03,182.03,182.03,182.03,1706869800000,26,2024-02-02 05:30:00-05:00
76,1293.0,182.0331,182.03,182.03,182.03,182.03,1706869860000,23,2024-02-02 05:31:00-05:00
77,306.0,182.0347,182.04,182.04,182.04,182.04,1706869920000,18,2024-02-02 05:32:00-05:00
78,3570.0,182.0619,182.05,182.1,182.1,182.05,1706869980000,60,2024-02-02 05:33:00-05:00
79,673.0,182.04,182.03,182.03,182.03,182.03,1706870040000,26,2024-02-02 05:34:00-05:00
80,245.0,182.0961,182.1,182.1,182.1,182.1,1706870220000,10,2024-02-02 05:37:00-05:00
81,5901.0,182.0956,182.06,182.1,182.1,182.06,1706870340000,38,2024-02-02 05:39:00-05:00
82,600.0,182.0978,182.1,182.1,182.1,182.1,1706870400000,23,2024-02-02 05:40:00-05:00
83,584.0,182.0867,182.1,182.08,182.1,182.08,1706870460000,31,2024-02-02 05:41:00-05:00
84,588.0,182.0647,182.08,182.06,182.08,182.06,1706870520000,35,2024-02-02 05:42:00-05:00
85,700.0,182.063,182.06,182.06,182.06,182.06,1706870580000,24,2024-02-02 05:43:00-05:00
86,1271.0,182.0649,182.06,182.06,182.06,182.06,1706870760000,25,2024-02-02 05:46:00-05:00
87,5385.0,182.0333,182.06,182.03,182.06,182.03,1706870820000,88,2024-02-02 05:47:00-05:00
88,1595.0,182.0362,182.03,182.05,182.05,182.03,1706870880000,45,2024-02-02 05:48:00-05:00
89,542.0,182.0313,182.03,182.03,182.03,182.03,1706870940000,26,2024-02-02 05:49:00-05:00
90,9938.0,182.0912,182.03,182.1,182.1,182.03,1706871000000,85,2024-02-02 05:50:00-05:00
91,2865.0,182.0996,182.09,182.1,182.1,182.09,1706871060000,33,2024-02-02 05:51:00-05:00
92,4591.0,182.0867,182.15,182.03,182.2,182.03,1706871120000,129,2024-02-02 05:52:00-05:00
93,481.0,182.0952,182.03,182.03,182.03,182.03,1706871180000,21,2024-02-02 05:53:00-05:00
94,1115.0,182.041,182.03,182.03,182.03,182.03,1706871240000,49,2024-02-02 05:54:00-05:00
95,2934.0,181.9771,182.03,181.91,182.03,181.91,1706871300000,296,2024-02-02 05:55:00-05:00
96,6552.0,181.6047,181.75,181.51,181.75,181.51,1706871360000,255,2024-02-02 05:56:00-05:00
97,9117.0,181.4223,181.52,181.3,181.53,181.3,1706871420000,394,2024-02-02 05:57:00-05:00
98,1935.0,181.3069,181.32,181.32,181.32,181.26,1706871480000,69,2024-02-02 05:58:00-05:00
99,2837.0,181.3265,181.3,181.4,181.4,181.3,1706871540000,46,2024-02-02 05:59:00-05:00
100,1818.0,181.391,181.39,181.39,181.39,181.39,1706871600000,34,2024-02-02 06:00:00-05:00
101,1201.0,181.3857,181.38,181.38,181.39,181.38,1706871660000,49,2024-02-02 06:01:00-05:00
102,1470.0,181.431,181.44,181.4,181.44,181.4,1706871720000,28,2024-02-02 06:02:00-05:00
103,550.0,181.4323,181.42,181.46,181.46,181.42,1706871780000,37,2024-02-02 06:03:00-05:00
104,2654.0,181.505,181.46,181.5,181.5,181.46,1706871840000,42,2024-02-02 06:04:00-05:00
105,2400.0,181.6583,181.63,181.66,181.66,181.63,1706871900000,60,2024-02-02 06:05:00-05:00
106,1220.0,181.5934,181.59,181.59,181.59,181.59,1706871960000,53,2024-02-02 06:06:00-05:00
107,755.0,181.595,181.59,181.6,181.6,181.59,1706872020000,15,2024-02-02 06:07:00-05:00
108,918.0,181.6965,181.66,181.72,181.72,181.66,1706872140000,29,2024-02-02 06:09:00-05:00
109,1931.0,181.6971,181.71,181.75,181.75,181.63,1706872200000,62,2024-02-02 06:10:00-05:00
110,8176.0,181.9485,181.84,182.04,182.04,181.84,1706872260000,130,2024-02-02 06:11:00-05:00
111,583.0,181.9187,181.94,181.91,181.94,181.91,1706872380000,40,2024-02-02 06:13:00-05:00
112,3302.0,181.9564,181.91,182.0,182.0,181.91,1706872440000,39,2024-02-02 06:14:00-05:00
113,3132.0,182.018,181.97,182.01,182.04,181.97,1706872500000,63,2024-02-02 06:15:00-05:00
114,5129.0,181.9924,181.97,181.91,182.0,181.91,1706872560000,68,2024-02-02 06:16:00-05:00
115,738.0,181.8704,181.87,181.87,181.87,181.87,1706872620000,48,2024-02-02 06:17:00-05:00
116,1965.0,181.9531,181.92,181.97,181.97,181.92,1706872680000,29,2024-02-02 06:18:00-05:00
117,729.0,181.9968,181.99,182.0,182.0,181.99,1706872800000,16,2024-02-02 06:20:00-05:00
118,2268.0,181.7936,181.8,181.75,181.8,181.75,1706872860000,120,2024-02-02 06:21:00-05:00
119,2130.0,181.7779,181.8,181.75,181.84,181.75,1706872920000,43,2024-02-02 06:22:00-05:00
120,5213.0,181.897,181.89,181.9,181.9,181.89,1706872980000,33,2024-02-02 06:23:00-05:00
121,10540.0,181.9401,181.94,181.95,181.95,181.9,1706873040000,92,2024-02-02 06:24:00-05:00
122,1371.0,181.9653,181.95,181.95,181.98,181.95,1706873100000,28,2024-02-02 06:25:00-05:00
123,510.0,181.9522,181.95,181.93,181.95,181.93,1706873160000,20,2024-02-02 06:26:00-05:00
124,2005.0,181.9015,181.9,181.9,181.9,181.9,1706873220000,71,2024-02-02 06:27:00-05:00
125,1157.0,181.8835,181.87,181.87,181.87,181.87,1706873280000,36,2024-02-02 06:28:00-05:00
