,v,vw,o,c,h,l,t,n,UNIXTIME
0,7526.0,190.0569,190.19,189.82,190.28,189.8,1706864400000,278,2024-02-02 04:00:00-05:00
1,5881.0,189.8788,189.79,189.91,190.0,189.7,1706864460000,151,2024-02-02 04:01:00-05:00
2,8535.0,189.9949,190.0,190.0,190.0,189.97,1706864520000,139,2024-02-02 04:02:00-05:00
3,3711.0,190.0401,189.99,190.05,190.05,189.99,1706864580000,99,2024-02-02 04:03:00-05:00
4,7557.0,190.0678,190.1,190.05,190.1,190.01,1706864640000,125,2024-02-02 04:04:00-05:00
5,1710.0,190.001,190.05,189.99,190.05,189.99,1706864700000,66,2024-02-02 04:05:00-05:00
6,1469.0,189.9926,190.0,190.0,190.0,190.0,1706864760000,70,2024-02-02 04:06:00-05:00
7,2173.0,189.9867,189.94,190.04,190.04,189.94,1706864820000,65,2024-02-02 04:07:00-05:00
8,2827.0,190.022,190.04,190.04,190.04,190.0,1706864880000,81,2024-02-02 04:08:00-05:00
9,393.0,189.9838,189.97,189.97,189.97,189.97,1706864940000,24,2024-02-02 04:09:00-05:00
10,2007.0,190.0058,190.04,190.04,190.04,190.04,1706865000000,73,2024-02-02 04:10:00-05:00
11,2326.0,189.9349,190.0,189.91,190.0,189.91,1706865060000,103,2024-02-02 04:11:00-05:00
12,10220.0,189.7192,189.81,189.7,189.81,189.7,1706865120000,152,2024-02-02 04:12:00-05:00
13,3366.0,189.5648,189.61,189.52,189.61,189.52,1706865180000,169,2024-02-02 04:13:00-05:00
14,4809.0,189.5301,189.53,189.5,189.65,189.5,1706865240000,134,2024-02-02 04:14:00-05:00
15,2386.0,189.4728,189.5,189.51,189.51,189.5,1706865300000,74,2024-02-02 04:15:00-05:00
16,5397.0,189.2695,189.41,189.19,189.41,189.15,1706865360000,147,2024-02-02 04:16:00-05:00
17,2143.0,189.1627,189.2,189.13,189.2,189.13,1706865420000,101,2024-02-02 04:17:00-05:00
18,11207.0,188.8331,189.06,188.5,189.09,188.5,1706865480000,397,2024-02-02 04:18:00-05:00
19,6757.0,188.3111,188.59,188.12,188.59,188.12,1706865540000,217,2024-02-02 04:19:00-05:00
20,11038.0,187.864,188.1,187.55,188.1,187.55,1706865600000,466,2024-02-02 04:20:00-05:00
21,13104.0,187.2737,187.5,187.4,187.5,187.0,1706865660000,346,2024-02-02 04:21:00-05:00
22,4005.0,187.1406,187.25,187.12,187.25,187.11,1706865720000,142,2024-02-02 04:22:00-05:00
23,3922.0,187.3776,187.17,187.5,187.5,187.11,1706865780000,127,2024-02-02 04:23:00-05:00
24,2987.0,187.5472,187.45,187.52,187.65,187.45,1706865840000,98,2024-02-02 04:24:00-05:00
25,4627.0,187.3155,187.47,187.17,187.47,187.17,1706865900000,192,2024-02-02 04:25:00-05:00
26,8743.0,186.9926,187.04,186.99,187.04,186.99,1706865960000,355,2024-02-02 04:26:00-05:00
27,24454.0,186.6074,186.83,186.65,186.83,186.48,1706866020000,405,2024-02-02 04:27:00-05:00
28,3040.0,186.8774,186.8,186.89,186.89,186.8,1706866080000,98,2024-02-02 04:28:00-05:00
29,4830.0,187.2333,187.15,187.15,187.35,187.15,1706866140000,124,2024-02-02 04:29:00-05:00
30,3650.0,187.2577,187.14,187.38,187.38,187.14,1706866200000,119,2024-02-02 04:30:00-05:00
31,3681.0,187.3645,187.42,187.23,187.42,187.23,1706866260000,130,2024-02-02 04:31:00-05:00
32,762.0,187.2717,187.23,187.23,187.23,187.23,1706866320000,52,2024-02-02 04:32:00-05:00
33,2040.0,187.3158,187.38,187.29,187.38,187.25,1706866380000,69,2024-02-02 04:33:00-05:00
34,2266.0,187.3097,187.28,187.28,187.28,187.28,1706866440000,89,2024-02-02 04:34:00-05:00
35,1064.0,187.414,187.4,187.4,187.4,187.4,1706866500000,54,2024-02-02 04:35:00-05:00
36,3168.0,187.4213,187.43,187.42,187.43,187.42,1706866560000,83,2024-02-02 04:36:00-05:00
37,2757.0,187.4105,187.37,187.48,187.48,187.37,1706866620000,88,2024-02-02 04:37:00-05:00
38,2008.0,187.4399,187.4,187.4,187.4,187.4,1706866680000,83,2024-02-02 04:38:00-05:00
39,1006.0,187.4623,187.45,187.47,187.47,187.45,1706866740000,50,2024-02-02 04:39:00-05:00
