,v,vw,o,c,h,l,t,n,UNIXTIME
0,4770.0,186.817,186.98,186.86,187.25,186.65,1706691600000,163,2024-01-31 04:00:00-05:00
1,9532.0,186.7426,186.86,186.81,186.86,186.71,1706691660000,73,2024-01-31 04:01:00-05:00
2,2942.0,186.8602,186.84,186.97,186.97,186.84,1706691720000,78,2024-01-31 04:02:00-05:00
3,603.0,186.8892,186.91,186.91,186.91,186.91,1706691780000,17,2024-01-31 04:03:00-05:00
4,1341.0,186.9414,186.94,186.97,186.97,186.94,1706691840000,27,2024-01-31 04:04:00-05:00
5,731.0,186.8611,186.84,186.87,186.87,186.84,1706691900000,18,2024-01-31 04:05:00-05:00
6,3787.0,186.9094,186.89,187.0,187.0,186.89,1706691960000,102,2024-01-31 04:06:00-05:00
7,801.0,186.9586,187.0,187.0,187.0,187.0,1706692020000,51,2024-01-31 04:07:00-05:00
8,1541.0,187.0525,187.06,187.06,187.06,187.06,1706692140000,50,2024-01-31 04:09:00-05:00
9,589.0,187.0625,187.0,187.0,187.0,187.0,1706692200000,25,2024-01-31 04:10:00-05:00
10,1581.0,186.7743,186.82,186.73,186.82,186.73,1706692500000,58,2024-01-31 04:15:00-05:00
11,469.0,186.7294,186.72,186.72,186.72,186.72,1706692560000,20,2024-01-31 04:16:00-05:00
12,2969.0,186.6041,186.61,186.52,186.61,186.52,1706692620000,86,2024-01-31 04:17:00-05:00
13,1366.0,186.5207,186.5,186.5,186.5,186.5,1706692680000,88,2024-01-31 04:18:00-05:00
14,1253.0,186.4145,186.43,186.38,186.43,186.38,1706692740000,79,2024-01-31 04:19:00-05:00
15,1475.0,186.347,186.4,186.31,186.4,186.31,1706692800000,55,2024-01-31 04:20:00-05:00
16,2060.0,186.3169,186.31,186.3,186.31,186.3,1706692860000,35,2024-01-31 04:21:00-05:00
17,1421.0,186.4367,186.41,186.51,186.52,186.39,1706692920000,59,2024-01-31 04:22:00-05:00
18,678.0,186.434,186.47,186.47,186.47,186.47,1706693040000,29,2024-01-31 04:24:00-05:00
19,401.0,186.3991,186.41,186.41,186.41,186.41,1706693160000,32,2024-01-31 04:26:00-05:00
20,383.0,186.3899,186.41,186.41,186.41,186.41,1706693400000,16,2024-01-31 04:30:00-05:00
21,700.0,186.3689,186.39,186.39,186.39,186.39,1706693520000,22,2024-01-31 04:32:00-05:00
22,376.0,186.314,186.32,186.32,186.32,186.32,1706693640000,24,2024-01-31 04:34:00-05:00
23,349.0,186.3735,186.39,186.39,186.39,186.39,1706693760000,14,2024-01-31 04:36:00-05:00
24,871.0,186.327,186.3,186.3,186.3,186.3,1706693820000,39,2024-01-31 04:37:00-05:00
25,584.0,186.3335,186.33,186.33,186.33,186.33,1706693940000,18,2024-01-31 04:39:00-05:00
26,1342.0,186.3396,186.34,186.34,186.34,186.34,1706694000000,41,2024-01-31 04:40:00-05:00
27,2072.0,186.4548,186.41,186.5,186.5,186.41,1706694240000,70,2024-01-31 04:44:00-05:00
28,506.0,186.3839,186.4,186.36,186.4,186.36,1706694360000,16,2024-01-31 04:46:00-05:00
29,715.0,186.396,186.4,186.4,186.4,186.4,1706694420000,26,2024-01-31 04:47:00-05:00
30,618.0,186.4124,186.41,186.41,186.41,186.41,1706694480000,26,2024-01-31 04:48:00-05:00
31,1999.0,186.5025,186.49,186.5,186.5,186.49,1706694540000,37,2024-01-31 04:49:00-05:00
32,495.0,186.7032,186.7,186.71,186.71,186.7,1706694780000,19,2024-01-31 04:53:00-05:00
33,294.0,186.6785,186.68,186.68,186.68,186.68,1706695020000,9,2024-01-31 04:57:00-05:00
34,4321.0,186.6933,186.7,186.7,186.7,186.7,1706695680000,68,2024-01-31 05:08:00-05:00
35,527.0,186.7288,186.72,186.72,186.72,186.72,1706695800000,18,2024-01-31 05:10:00-05:00
36,300.0,186.725,186.73,186.73,186.73,186.73,1706695980000,16,2024-01-31 05:13:00-05:00
37,457.0,186.7532,186.75,186.76,186.76,186.75,1706696040000,10,2024-01-31 05:14:00-05:00
38,1127.0,186.7,186.7,186.7,186.7,186.7,1706696160000,31,2024-01-31 05:16:00-05:00
39,383.0,186.71,186.71,186.71,186.71,186.71,1706696640000,8,2024-01-31 05:24:00-05:00
40,333.0,186.7207,186.72,186.72,186.72,186.72,1706696760000,13,2024-01-31 05:26:00-05:00
41,1146.0,186.8181,186.91,186.91,186.91,186.91,1706696940000,41,2024-01-31 05:29:00-05:00
42,1082.0,186.8793,186.88,186.88,186.88,186.88,1706697060000,23,2024-01-31 05:31:00-05:00
43,276.0,186.854,186.85,186.85,186.85,186.85,1706697180000,11,2024-01-31 05:33:00-05:00
44,562.0,186.8212,186.81,186.81,186.81,186.81,1706697600000,16,2024-01-31 05:40:00-05:00
45,450.0,186.7918,186.79,186.79,186.79,186.79,1706697840000,25,2024-01-31 05:44:00-05:00
46,1890.0,186.8445,186.8,186.85,186.85,186.8,1706697960000,42,2024-01-31 05:46:00-05:00
47,696.0,186.8519,186.85,186.85,186.85,186.85,1706698020000,14,2024-01-31 05:47:00-05:00
48,1088.0,186.8644,186.85,186.89,186.89,186.85,1706698080000,27,2024-01-31 05:48:00-05:00
49,423.0,186.8523,186.85,186.85,186.85,186.85,1706698140000,12,2024-01-31 05:49:00-05:00
50,2288.0,186.9047,186.9,186.95,186.95,186.9,1706698260000,28,2024-01-31 05:51:00-05:00
51,1055.0,186.9499,186.95,186.95,186.95,186.95,1706698380000,23,2024-01-31 05:53:00-05:00
52,2963.0,186.8282,186.85,186.78,186.85,186.78,1706698680000,80,2024-01-31 05:58:00-05:00
53,3466.0,186.7309,186.75,186.65,186.75,186.65,1706698860000,138,2024-01-31 06:01:00-05:00
54,264.0,186.608,186.6,186.6,186.6,186.6,1706698920000,12,2024-01-31 06:02:00-05:00
55,454.0,186.5717,186.6,186.55,186.6,186.55,1706698980000,20,2024-01-31 06:03:00-05:00
56,1528.0,186.8695,186.87,186.88,186.88,186.87,1706699340000,26,2024-01-31 06:09:00-05:00
57,1118.0,186.9308,186.94,186.96,186.97,186.94,1706699400000,26,2024-01-31 06:10:00-05:00
58,5103.0,186.9892,186.97,186.99,187.0,186.97,1706699640000,92,2024-01-31 06:14:00-05:00
59,423.0,186.9883,187.06,187.06,187.06,187.06,1706699700000,19,2024-01-31 06:15:00-05:00
60,653.0,186.9839,187.0,187.0,187.0,187.0,1706699940000,22,2024-01-31 06:19:00-05:00
61,293.0,187.0026,187.0,187.0,187.0,187.0,1706700120000,23,2024-01-31 06:22:00-05:00
62,898.0,187.0601,187.06,187.06,187.06,187.06,1706700180000,37,2024-01-31 06:23:00-05:00
63,329.0,187.1651,187.17,187.17,187.17,187.17,1706700300000,10,2024-01-31 06:25:00-05:00
64,335.0,187.1222,187.1,187.1,187.1,187.1,1706700480000,13,2024-01-31 06:28:00-05:00
65,382.0,187.1875,187.19,187.19,187.19,187.19,1706700540000,20,2024-01-31 06:29:00-05:00
66,414.0,187.15,187.15,187.15,187.15,187.15,1706700600000,13,2024-01-31 06:30:00-05:00
67,516.0,187.0981,187.09,187.09,187.09,187.09,1706700780000,22,2024-01-31 06:33:00-05:00
68,932.0,187.1106,187.12,187.1,187.12,187.1,1706701080000,33,2024-01-31 06:38:00-05:00
69,424.0,187.1,187.1,187.1,187.1,187.1,1706701260000,9,2024-01-31 06:41:00-05:00
70,580.0,187.1036,187.11,187.11,187.11,187.1,1706701380000,23,2024-01-31 06:43:00-05:00
71,3069.0,187.1524,187.15,187.2,187.2,187.15,1706701440000,60,2024-01-31 06:44:00-05:00
72,226.0,187.2429,187.25,187.25,187.25,187.25,1706701500000,11,2024-01-31 06:45:00-05:00
73,619.0,187.2067,187.2,187.2,187.2,187.2,1706701560000,13,2024-01-31 06:46:00-05:00
74,360.0,187.2024,187.2,187.2,187.2,187.2,1706701740000,16,2024-01-31 06:49:00-05:00
75,335.0,187.2026,187.2,187.2,187.2,187.2,1706701800000,15,2024-01-31 06:50:00-05:00
76,363.0,187.241,187.23,187.24,187.24,187.23,1706701920000,9,2024-01-31 06:52:00-05:00
77,866.0,187.2736,187.27,187.28,187.28,187.27,1706701980000,20,2024-01-31 06:53:00-05:00
78,873.0,187.2309,187.25,187.2,187.25,187.2,1706702040000,21,2024-01-31 06:54:00-05:00
79,739.0,187.2007,187.2,187.2,187.2,187.2,1706702100000,25,2024-01-31 06:55:00-05:00
80,2034.0,187.2156,187.21,187.21,187.21,187.21,1706702400000,45,2024-01-31 07:00:00-05:00
81,557.0,187.2026,187.2,187.2,187.2,187.2,1706702520000,31,2024-01-31 07:02:00-05:00
82,1083.0,187.2092,187.21,187.21,187.21,187.2,1706702640000,39,2024-01-31 07:04:00-05:00
83,2782.0,187.2146,187.21,187.22,187.22,187.21,1706702760000,55,2024-01-31 07:06:00-05:00
84,2652.0,187.2259,187.25,187.22,187.25,187.22,1706702820000,75,2024-01-31 07:07:00-05:00
85,1140.0,187.2315,187.24,187.23,187.24,187.23,1706702880000,13,2024-01-31 07:08:00-05:00
86,1382.0,187.2026,187.21,187.2,187.21,187.2,1706703000000,18,2024-01-31 07:10:00-05:00
87,586.0,187.2311,187.23,187.22,187.23,187.22,1706703120000,23,2024-01-31 07:12:00-05:00
88,1509.0,187.2097,187.21,187.21,187.21,187.2,1706703180000,32,2024-01-31 07:13:00-05:00
89,7720.0,187.2531,187.25,187.26,187.26,187.25,1706703240000,68,2024-01-31 07:14:00-05:00
90,1481.0,187.2906,187.3,187.3,187.3,187.3,1706703300000,34,2024-01-31 07:15:00-05:00
91,5601.0,187.3027,187.3,187.39,187.39,187.3,1706703420000,86,2024-01-31 07:17:00-05:00
92,622.0,187.2434,187.22,187.22,187.22,187.22,1706703540000,27,2024-01-31 07:19:00-05:00
93,1702.0,187.2926,187.23,187.23,187.23,187.23,1706703600000,53,2024-01-31 07:20:00-05:00
94,1227.0,187.3094,187.31,187.31,187.31,187.31,1706703720000,27,2024-01-31 07:22:00-05:00
95,4751.0,187.2602,187.31,187.32,187.32,187.15,1706703840000,155,2024-01-31 07:24:00-05:00
96,2063.0,187.2943,187.3,187.22,187.3,187.22,1706703900000,45,2024-01-31 07:25:00-05:00
97,697.0,187.2126,187.23,187.22,187.23,187.22,1706703960000,28,2024-01-31 07:26:00-05:00
98,1783.0,187.1857,187.22,187.15,187.22,187.15,1706704020000,50,2024-01-31 07:27:00-05:00
99,2076.0,187.1508,187.15,187.15,187.15,187.15,1706704080000,38,2024-01-31 07:28:00-05:00
100,5571.0,187.2791,187.27,187.3,187.3,187.27,1706704140000,116,2024-01-31 07:29:00-05:00
101,1123.0,187.3108,187.3,187.3,187.3,187.3,1706704200000,24,2024-01-31 07:30:00-05:00
102,1207.0,187.152,187.15,187.14,187.15,187.14,1706704380000,44,2024-01-31 07:33:00-05:00
103,996.0,187.2523,187.24,187.24,187.24,187.24,1706704440000,42,2024-01-31 07:34:00-05:00
104,709.0,187.1844,187.2,187.2,187.2,187.2,1706704560000,30,2024-01-31 07:36:00-05:00
105,543.0,187.1699,187.16,187.16,187.16,187.16,1706704680000,17,2024-01-31 07:38:00-05:00
106,369.0,187.2872,187.29,187.29,187.29,187.29,1706704920000,15,2024-01-31 07:42:00-05:00
107,369.0,187.2862,187.3,187.3,187.3,187.3,1706704980000,30,2024-01-31 07:43:00-05:00
108,1247.0,187.3271,187.3,187.3,187.3,187.3,1706705160000,28,2024-01-31 07:46:00-05:00
109,1702.0,187.2561,187.25,187.22,187.3,187.22,1706705340000,65,2024-01-31 07:49:00-05:00
110,2049.0,187.2728,187.28,187.25,187.28,187.25,1706705400000,41,2024-01-31 07:50:00-05:00
111,2979.0,187.2695,187.25,187.3,187.3,187.25,1706705460000,77,2024-01-31 07:51:00-05:00
112,236.0,187.3055,187.3,187.31,187.31,187.3,1706705520000,4,2024-01-31 07:52:00-05:00
113,2345.0,187.3304,187.31,187.33,187.34,187.31,1706705580000,36,2024-01-31 07:53:00-05:00
114,716.0,187.3441,187.34,187.36,187.36,187.33,1706705700000,18,2024-01-31 07:55:00-05:00
115,2900.0,187.392,187.37,187.45,187.45,187.36,1706705820000,65,2024-01-31 07:57:00-05:00
116,7709.0,187.6112,187.43,187.84,187.84,187.43,1706705880000,123,2024-01-31 07:58:00-05:00
117,42490.0,187.3532,187.2108,187.71,187.8,187.1564,1706706000000,504,2024-01-31 08:00:00-05:00
118,4421.0,187.3747,186.52,187.71,187.77,186.52,1706706060000,327,2024-01-31 08:01:00-05:00
119,11148.0,186.822,187.71,186.6,187.77,186.52,1706706120000,895,2024-01-31 08:02:00-05:00
120,12323.0,187.4669,187.8,186.8,187.88,186.55,1706706180000,351,2024-01-31 08:03:00-05:00
121,5424.0,187.3009,186.54,186.8,187.88,186.54,1706706240000,247,2024-01-31 08:04:00-05:00
122,1418.0,187.717,187.7497,187.7499,187.7499,187.7,1706706300000,56,2024-01-31 08:05:00-05:00
123,2094.0,187.6878,187.7,187.7,187.72,187.66,1706706360000,44,2024-01-31 08:06:00-05:00
124,1526.0,187.7537,187.83,187.83,187.83,187.82,1706706420000,80,2024-01-31 08:07:00-05:00
125,563.0,187.8228,187.83,187.83,187.83,187.83,1706706480000,17,2024-01-31 08:08:00-05:00
126,754.0,187.7466,187.71,187.71,187.71,187.71,1706706540000,39,2024-01-31 08:09:00-05:00
127,1034.0,187.7956,187.8,187.8,187.8,187.8,1706706600000,37,2024-01-31 08:10:00-05:00
128,1792.0,187.7323,187.76,187.72,187.76,187.72,1706706660000,59,2024-01-31 08:11:00-05:00
129,998.0,187.7439,187.75,187.75,187.75,187.75,1706706720000,41,2024-01-31 08:12:00-05:00
130,1558.0,187.8057,187.76,187.76,187.83,187.76,1706706840000,32,2024-01-31 08:14:00-05:00
131,5683.0,187.8489,187.83,187.85,187.9,187.76,1706706900000,140,2024-01-31 08:15:00-05:00
132,2388.0,187.7986,187.85,187.75,187.85,187.75,1706706960000,56,2024-01-31 08:16:00-05:00
133,3338.0,187.8235,187.85,187.8498,187.85,187.78,1706707020000,53,2024-01-31 08:17:00-05:00
134,1158.0,187.774,187.8,187.75,187.8,187.75,1706707080000,46,2024-01-31 08:18:00-05:00
135,841.0,187.7699,187.78,187.76,187.78,187.76,1706707140000,28,2024-01-31 08:19:00-05:00
136,27705.0,188.0228,187.74,187.75,187.75,187.7,1706707200000,54,2024-01-31 08:20:00-05:00
137,1940.0,187.748,187.75,187.74,187.75,187.74,1706707260000,56,2024-01-31 08:21:00-05:00
138,577.0,187.6977,187.71,187.7,187.71,187.7,1706707320000,69,2024-01-31 08:22:00-05:00
139,725.0,187.6405,187.6204,187.65,187.65,187.62,1706707380000,35,2024-01-31 08:23:00-05:00
140,1580.0,187.6242,187.67,187.61,187.67,187.61,1706707440000,69,2024-01-31 08:24:00-05:00
141,447.0,187.5257,187.4823,187.4823,187.4823,187.4823,1706707500000,36,2024-01-31 08:25:00-05:00
142,703.0,187.5638,187.58,187.58,187.58,187.58,1706707560000,37,2024-01-31 08:26:00-05:00
143,1288.0,187.5766,187.52,187.59,187.59,187.52,1706707620000,46,2024-01-31 08:27:00-05:00
144,2628.0,187.7119,187.68,187.71,187.75,187.68,1706707800000,75,2024-01-31 08:30:00-05:00
145,907.0,187.6358,187.6,187.71,187.71,187.59,1706707860000,62,2024-01-31 08:31:00-05:00
146,604.0,187.7267,187.73,187.68,187.73,187.68,1706707920000,32,2024-01-31 08:32:00-05:00
147,3810.0,187.7763,187.71,187.85,187.85,187.71,1706707980000,114,2024-01-31 08:33:00-05:00
148,2850.0,187.9104,187.88,187.9392,187.9392,187.88,1706708040000,57,2024-01-31 08:34:00-05:00
149,1968.0,187.7887,187.85,187.85,187.85,187.85,1706708100000,103,2024-01-31 08:35:00-05:00
150,1881.0,187.7551,187.68,187.8373,187.8373,187.68,1706708160000,81,2024-01-31 08:36:00-05:00
151,1558.0,187.6807,187.68,187.63,187.68,187.63,1706708220000,55,2024-01-31 08:37:00-05:00
152,1716.0,187.5606,187.57,187.52,187.57,187.52,1706708280000,103,2024-01-31 08:38:00-05:00
153,2539.0,187.5789,187.461,187.68,187.68,187.461,1706708400000,86,2024-01-31 08:40:00-05:00
154,539.0,187.7931,187.82,187.82,187.82,187.82,1706708460000,43,2024-01-31 08:41:00-05:00
155,824.0,187.7383,187.6223,187.83,187.83,187.6223,1706708520000,42,2024-01-31 08:42:00-05:00
156,2506.0,187.7771,187.78,187.75,187.8,187.75,1706708580000,41,2024-01-31 08:43:00-05:00
157,1314.0,187.7134,187.71,187.71,187.71,187.71,1706708640000,52,2024-01-31 08:44:00-05:00
158,625.0,187.6295,187.6,187.6,187.6,187.6,1706708700000,40,2024-01-31 08:45:00-05:00
159,208.0,187.6035,187.58,187.58,187.58,187.58,1706708760000,20,2024-01-31 08:46:00-05:00
160,2779.0,187.6318,187.65,187.62,187.65,187.6181,1706708820000,75,2024-01-31 08:47:00-05:00
161,1033.0,187.6813,187.6201,187.75,187.75,187.6201,1706708880000,46,2024-01-31 08:48:00-05:00
162,965.0,187.6566,187.64,187.64,187.64,187.64,1706709060000,64,2024-01-31 08:51:00-05:00
