,v,vw,o,c,h,l,t,n,UNIXTIME
0,14221.0,185.7218,185.95,185.32,186.2,185.25,1706691600000,563,2024-01-31 04:00:00-05:00
1,5016.0,185.8776,185.5,186.0,186.22,185.4,1706691660000,211,2024-01-31 04:01:00-05:00
2,9517.0,185.8995,185.96,185.77,186.13,185.5,1706691720000,233,2024-01-31 04:02:00-05:00
3,1560.0,185.9017,185.94,185.94,185.94,185.94,1706691780000,74,2024-01-31 04:03:00-05:00
4,2137.0,185.9391,185.9,185.95,185.95,185.9,1706691840000,80,2024-01-31 04:04:00-05:00
5,3749.0,185.8103,185.9,185.72,185.9,185.72,1706691900000,170,2024-01-31 04:05:00-05:00
6,2612.0,185.7216,185.69,185.7,185.73,185.69,1706691960000,133,2024-01-31 04:06:00-05:00
7,5851.0,185.6597,185.72,185.65,185.73,185.65,1706692020000,172,2024-01-31 04:07:00-05:00
8,6853.0,185.3981,185.6,185.36,185.6,185.25,1706692080000,299,2024-01-31 04:08:00-05:00
9,2529.0,185.3241,185.4,185.3,185.4,185.28,1706692140000,109,2024-01-31 04:09:00-05:00
10,4330.0,185.4253,185.4,185.47,185.5,185.35,1706692200000,130,2024-01-31 04:10:00-05:00
11,2769.0,185.4248,185.47,185.4,185.47,185.4,1706692260000,89,2024-01-31 04:11:00-05:00
12,4538.0,185.3813,185.4,185.3,185.4,185.3,1706692320000,134,2024-01-31 04:12:00-05:00
13,7470.0,185.1276,185.18,185.11,185.18,185.07,1706692380000,375,2024-01-31 04:13:00-05:00
14,6118.0,185.2213,185.13,185.43,185.43,185.11,1706692440000,127,2024-01-31 04:14:00-05:00
15,2347.0,185.2503,185.24,185.21,185.24,185.21,1706692500000,107,2024-01-31 04:15:00-05:00
16,4323.0,185.1171,185.12,185.06,185.12,185.06,1706692560000,159,2024-01-31 04:16:00-05:00
17,7369.0,185.0645,185.07,185.04,185.1,185.04,1706692620000,192,2024-01-31 04:17:00-05:00
18,3409.0,185.0633,185.07,185.07,185.07,185.05,1706692680000,136,2024-01-31 04:18:00-05:00
19,5196.0,185.1099,185.07,185.11,185.16,185.07,1706692740000,130,2024-01-31 04:19:00-05:00
20,3248.0,185.1033,185.1,185.05,185.14,185.05,1706692800000,99,2024-01-31 04:20:00-05:00
21,2886.0,185.1128,185.11,185.07,185.15,185.07,1706692860000,82,2024-01-31 04:21:00-05:00
22,3409.0,185.1672,185.21,185.2,185.21,185.14,1706692920000,103,2024-01-31 04:22:00-05:00
23,3872.0,185.1203,185.13,185.08,185.13,185.08,1706692980000,114,2024-01-31 04:23:00-05:00
24,2838.0,185.092,185.06,185.13,185.13,185.06,1706693040000,102,2024-01-31 04:24:00-05:00
25,4012.0,185.1838,185.12,185.31,185.31,185.12,1706693100000,105,2024-01-31 04:25:00-05:00
26,2507.0,185.3106,185.25,185.31,185.35,185.21,1706693160000,97,2024-01-31 04:26:00-05:00
27,1609.0,185.3414,185.3,185.35,185.35,185.3,1706693220000,67,2024-01-31 04:27:00-05:00
28,2206.0,185.4177,185.37,185.47,185.47,185.37,1706693280000,75,2024-01-31 04:28:00-05:00
29,2256.0,185.4527,185.42,185.48,185.48,185.42,1706693340000,76,2024-01-31 04:29:00-05:00
30,9471.0,185.6966,185.48,185.89,185.94,185.48,1706693400000,211,2024-01-31 04:30:00-05:00
31,1827.0,185.8245,185.85,185.8,185.85,185.8,1706693460000,107,2024-01-31 04:31:00-05:00
32,2524.0,185.7791,185.77,185.82,185.82,185.77,1706693520000,76,2024-01-31 04:32:00-05:00
33,1200.0,185.7828,185.75,185.79,185.79,185.75,1706693580000,59,2024-01-31 04:33:00-05:00
34,2960.0,185.6169,185.78,185.56,185.78,185.56,1706693640000,137,2024-01-31 04:34:00-05:00
35,3566.0,185.616,185.56,185.77,185.77,185.56,1706693700000,99,2024-01-31 04:35:00-05:00
36,1341.0,185.7165,185.7,185.7,185.7,185.7,1706693760000,62,2024-01-31 04:36:00-05:00
37,1017.0,185.6618,185.6,185.69,185.69,185.6,1706693880000,44,2024-01-31 04:38:00-05:00
38,2923.0,185.6701,185.71,185.69,185.71,185.66,1706693940000,79,2024-01-31 04:39:00-05:00
39,1769.0,185.687,185.74,185.74,185.74,185.74,1706694000000,72,2024-01-31 04:40:00-05:00
